"age.at.death";"age";"alive";"male";"height";"weight"
0.599999999999909;0.599999999999909;0;1;91.44;12.927372
NA;51;1;1;165.735;57.549485
NA;46;1;0;149.86;37.931631
NA;17;1;0;147.955;41.900561
NA;12;1;0;137.795;27.5840635
NA;22;1;0;154.94;47.2019175
NA;29;1;1;160.9598;43.204638
NA;38;1;1;161.925;50.2636635
NA;30;1;0;147.955;39.3774555
8;8;0;0;NA;NA
NA;6;1;1;113.665;17.463292
NA;45;1;1;159.385;50.689
NA;47;1;0;148.59;39.4341545
NA;79;1;0;136.525;36.28736
NA;45;1;1;158.115;46.266384
NA;54;1;0;144.78;42.2691045
NA;31;1;1;156.845;47.62716
NA;46;1;1;NA;58.116475
NA;41;1;0;NA;48.5059945
NA;23;1;1;179.07;55.7067675
NA;18;1;1;NA;35.7
NA;14;1;0;NA;27.612413
NA;9;1;0;118.745;18.824068
NA;41;1;1;170.18;48.5626935
NA;23;1;0;146.05;42.807745
NA;36;1;0;147.32;35.0683315
NA;5;1;1;113.03;17.8885345
NA;28;1;1;NA;NA
NA;34;1;1;NA;55.9335635
NA;30;1;0;162.56;56.755699
NA;12;1;1;133.985;27.442316
2.75;2.75;0;0;NA;NA
NA;34;1;0;152.4;51.255896
NA;31;1;1;NA;47.8823055
NA;44;1;1;160.02;47.230267
NA;43;1;0;149.86;40.936678
NA;28;1;0;NA;NA
73.3;73.3;0;0;142.875;32.715323
74;74;0;0;NA;NA
NA;38;1;1;167.005;57.0675435
NA;43;1;1;159.385;42.977842
NA;33;1;0;154.94;39.9444455
NA;16;1;0;148.59;32.4601775
NA;11;1;1;111.125;17.123098
NA;6;1;1;111.76;16.499409
NA;35;1;1;162.56;45.9545395
NA;29;1;0;152.4;41.106775
NA;12;1;0;124.46;18.257078
NA;9;1;1;111.76;15.081934
7.59999999999991;7.59999999999991;0;1;86.36;11.4815475
NA;58;1;1;170.18;47.5988105
NA;53;1;0;146.05;37.5063885
NA;51;1;1;159.385;45.019006
NA;48;1;0;151.13;42.2691045
NA;29;1;1;160.655;54.8562825
1.59999999999991;1.59999999999991;0;0;NA;NA
NA;41;1;1;169.545;53.523856
54.8299999999999;54.8299999999999;0;0;NA;NA
81.75;81.75;0;1;158.75;52.1914295
NA;59;1;0;NA;40.709882
NA;1;1;1;74.295;9.752228
NA;35;1;0;149.86;42.410852
NA;5;1;0;NA;14.1464005
36;36;0;1;NA;NA
NA;39;1;1;NA;46.039588
NA;46;1;0;153.035;49.5832755
NA;5;1;1;96.52;13.097469
NA;29;1;1;161.925;41.730464
NA;28;1;0;NA;37.194544
NA;42;1;1;162.56;56.018612
NA;27;1;0;149.225;42.1557065
NA;8;1;0;116.84;19.391058
NA;6;1;1;100.076;15.081934
NA;52;1;1;NA;43.828327
61;61;0;0;NA;NA
NA;22;1;1;163.195;53.0986135
NA;59;1;1;NA;NA
NA;46;1;0;NA;NA
NA;19;1;0;NA;NA
NA;43;1;1;161.925;50.235314
NA;53;1;0;145.415;42.52425
NA;43;1;1;163.195;49.101334
NA;41;1;0;151.13;38.498621
NA;50;1;0;150.495;49.8100715
NA;15;1;1;141.605;29.313383
NA;64;1;0;NA;NA
NA;33;1;1;170.815;59.760746
34.5999999999999;34.5999999999999;0;0;NA;NA
NA;26;1;1;NA;NA
NA;1;1;0;NA;NA
NA;2;1;0;90.17;NA
NA;3;1;0;91.44;11.7083435
NA;62;1;1;157.48;47.9390045
65.9000000000001;65.9000000000001;0;0;NA;NA
NA;18;1;0;NA;NA
NA;49;1;0;152.4;39.292407
NA;30;1;1;NA;57.889679
NA;17;1;1;149.225;38.1300775
NA;12;1;0;129.54;21.999212
NA;22;1;0;147.32;36.8826995
NA;33;1;1;NA;NA
NA;29;1;0;145.415;42.127357
NA;8;1;0;121.92;19.787951
NA;5;1;1;113.665;16.782904
NA;33;1;1;157.48;44.565414
NA;34;1;0;154.305;47.853956
NA;12;1;0;120.65;21.1770765
NA;7;1;1;115.6;18.9
NA;42;1;1;167.005;55.1964765
NA;40;1;0;142.875;32.998818
NA;17;1;1;NA;32.6302745
2;2;0;1;NA;NA
NA;27;1;0;152.4;40.879979
NA;34;1;1;NA;NA
29;29;0;0;NA;NA
NA;3;1;0;96.52;13.267566
NA;58;1;0;NA;NA
NA;25;1;1;160;51.2
NA;19;1;0;NA;NA
NA;13;1;1;NA;NA
NA;41;1;1;NA;NA
50;50;0;0;NA;NA
NA;45;1;0;NA;48.2224995
NA;27;1;1;NA;NA
NA;19;1;1;NA;34.472992
NA;17;1;1;NA;34.416293
NA;13;1;0;NA;NA
NA;67;1;0;NA;NA
NA;28;1;0;NA;NA
NA;27;1;1;NA;NA
NA;29;1;1;159.385;49.044635
NA;46;1;1;NA;47.2586165
NA;45;1;0;149.86;53.4388075
NA;26;1;1;160.655;54.090846
NA;45;1;1;160.655;55.3665735
NA;45;1;0;149.225;42.240755
NA;14;1;0;NA;28.122704
NA;11;1;0;125.095;22.3677555
85.5999999999999;85.5999999999999;0;0;140.97;40.936678
NA;26;1;1;154.94;49.6966735
NA;38;1;0;NA;35.663671
NA;38;1;1;NA;57.039194
NA;24;1;0;141.605;44.338618
NA;57;1;1;160.02;45.9545395
63;63;0;0;NA;NA
NA;22;1;0;150.1648;41.95726
NA;24;1;0;155.575;51.482692
NA;6;1;0;103.505;12.757275
NA;4;1;0;94.615;13.0124205
NA;19;1;1;NA;45.585996
NA;21;1;0;156.21;44.111822
79;79;0;0;153.035;32.205032
NA;50;1;1;167.005;56.755699
NA;40;1;0;149.86;52.673371
NA;64;1;0;147.955;36.4858065
NA;35;1;1;NA;45.3592
NA;32;1;1;159.385;48.8461885
NA;19;1;0;156.21;NA
38.7;38.7;0;1;161.925;56.9541455
NA;26;1;0;155.575;42.0990075
1;1;0;1;NA;NA
NA;63;1;1;159.385;50.178615
NA;62;1;0;146.685;46.549879
NA;22;1;1;172.72;61.80191
NA;41;1;1;166.37;48.987936
NA;32;1;0;NA;48.19415
NA;19;1;1;141.605;31.524644
NA;17;1;0;142.875;32.205032
NA;14;1;0;133.35;23.756881
NA;9;1;1;127.635;24.4089195
NA;7;1;1;119.38;21.5172705
2;2;0;0;NA;NA
NA;74;1;0;151.765;35.2951275
NA;41;1;1;156.845;45.642695
NA;33;1;0;148.59;43.885026
NA;46;1;1;NA;NA
NA;35;1;0;NA;NA
NA;29;1;1;NA;NA
NA;53;1;0;157.48;45.5576465
NA;18;1;0;149.86;39.008912
NA;37;1;0;147.955;41.163474
NA;6;1;0;102.235;13.1258185
NA;61;1;0;153.035;45.245802
NA;44;1;1;160.655;53.637254
NA;35;1;0;149.225;52.3048275
NA;10;1;0;NA;NA
NA;7;1;1;114.3;18.3421265
NA;4;1;1;100.965;13.7495075
NA;33;1;1;NA;NA
NA;23;1;0;138.43;39.0939605
NA;7;1;1;NA;NA
NA;4;1;1;91.44;12.530479
NA;55;1;1;162.56;45.699394
51;51;0;0;NA;NA
NA;53;1;0;149.225;40.3980375
NA;53;1;1;NA;NA
NA;28;1;0;NA;NA
NA;7;1;0;NA;NA
NA;59;1;1;158.75;51.482692
NA;57;1;0;149.86;38.668718
NA;35;1;1;158.115;39.235708
NA;29;1;0;156.21;44.338618
NA;62;1;1;148.59;39.519203
64.7;64.7;0;0;NA;NA
NA;18;1;0;143.51;31.071052
NA;51;1;0;154.305;46.776675
NA;14;1;0;131.445;22.509503
NA;19;1;1;157.48;40.6248335
69;69;0;0;NA;NA
NA;42;1;1;157.48;50.178615
NA;25;1;0;154.305;41.276872
NA;6;1;1;107.95;17.57669
NA;41;1;1;168.275;54.6
NA;37;1;0;145.415;44.9906565
NA;16;1;0;147.955;44.735511
NA;5;1;1;100.965;14.401546
NA;9;1;1;113.03;19.050864
NA;82;1;1;149.225;35.8054185
NA;28;1;1;154.94;45.2174525
NA;50;1;1;162.56;48.1091015
NA;43;1;0;156.845;45.6710445
NA;15;1;0;NA;NA
NA;8;1;1;123.19;20.808533
3.5;3.5;0;1;NA;NA
NA;31;1;1;161.0106;48.420946
NA;44;1;0;NA;NA
NA;17;1;0;NA;NA
2;2;0;1;NA;NA
78.8;78.8;0;1;NA;NA
NA;67;1;0;144.78;41.1918235
NA;39;1;0;143.51;38.4135725
NA;18;1;0;149.225;42.127357
NA;11;1;0;110.49;17.6617385
NA;48;1;0;149.86;38.2434755
NA;30;1;1;165.735;48.3358975
NA;64;1;0;144.145;38.9238635
NA;72;1;1;157.48;40.029494
68;68;0;0;154.305;50.2069645
NA;44;1;1;163.83;54.2892925
NA;43;1;0;156.21;45.6
NA;16;1;0;153.67;40.766581
NA;13;1;0;134.62;27.1304715
NA;34;1;0;144.145;39.4341545
NA;10;1;0;114.3;20.4966885
4;4;0;1;NA;NA
62;62;0;1;162.56;43.204638
NA;44;1;0;146.05;31.864838
NA;11;1;1;120.65;20.8935815
NA;31;1;1;154.94;45.4442485
NA;29;1;0;144.78;38.045029
NA;8;1;0;106.68;15.989118
NA;62;1;0;146.685;36.0889135
NA;67;1;0;152.4;40.879979
NA;40;1;1;NA;51.085799
42.4000000000001;42.4000000000001;0;0;NA;43.6298805
NA;57;1;1;163.83;47.910655
63;63;0;0;NA;NA
NA;32;1;1;165.735;47.7122085
NA;24;1;0;156.21;46.379782
77;77;0;1;152.4;41.163474
NA;62;1;0;140.335;36.5992045
NA;17;1;1;158.115;43.09124
NA;27;1;1;NA;NA
NA;67;1;1;163.195;48.137451
NA;70;1;0;151.13;36.7126025
NA;37;1;1;171.1198;56.5572525
NA;58;1;0;149.86;38.6970675
NA;35;1;1;163.83;47.4854125
NA;30;1;0;141.605;36.2023115
NA;5;1;0;93.98;14.288148
NA;33;1;1;NA;NA
NA;26;1;0;149.225;41.276872
NA;5;1;0;105.41;15.2236815
NA;21;1;0;146.05;44.7638605
NA;41;1;1;161.29;50.4337605
NA;46;1;1;162.56;55.281525
NA;49;1;0;145.415;37.931631
NA;15;1;1;145.415;35.493574
9;9;0;1;NA;NA
NA;28;1;1;170.815;58.456669
41;41;0;0;NA;NA
NA;12;1;0;127;21.488921
83;83;0;0;159.385;44.4236665
NA;54;1;1;159.4;44.4
NA;54;1;0;153.67;44.565414
NA;68;1;1;160.02;44.622113
NA;68;1;0;150.495;40.483086
NA;56;1;0;149.225;44.0834725
NA;20;1;0;NA;NA
NA;15;1;0;127;24.4089195
NA;57;1;0;142.875;34.416293
NA;22;1;0;142.113;32.772022
NA;40;1;0;147.32;35.947166
NA;19;1;1;162.56;49.5549
NA;41;1;1;164.465;53.183662
75.9000000000001;75.9000000000001;0;1;160.02;37.081146
73.9000000000001;73.9000000000001;0;0;153.67;40.5114355
NA;49;1;1;167.005;50.6038575
NA;26;1;1;151.13;43.9700745
NA;17;1;0;147.955;33.792604
NA;13;1;0;125.3998;21.375523
NA;8;1;0;111.125;16.669506
88;88;0;1;153.035;49.89
68;68;0;0;139.065;33.5941575
NA;33;1;1;152.4;43.8566765
NA;26;1;0;154.94;48.137451
NA;56;1;0;147.955;42.751046
NA;16;1;1;143.51;34.8415355
NA;13;1;0;117.983;24.097075
NA;34;1;0;144.145;33.906002
NA;5;1;0;92.71;12.076887
NA;17;1;0;147.955;41.276872
74;74;0;1;155.575;39.7176495
69;69;0;0;150.495;35.947166
NA;50;1;1;155.575;50.915702
NA;44;1;0;154.305;45.756093
NA;15;1;0;130.6068;25.2594045
NA;5;1;0;101.6;15.3370795
NA;18;1;0;157.48;49.214732
NA;41;1;1;168.91;58.8252125
NA;27;1;0;150.495;43.4597835
8.90000000000009;8.90000000000009;0;1;111.76;17.8318355
NA;38;1;1;160.02;51.9646335
NA;57;1;1;167.64;50.688906
64.5;64.5;0;0;144.145;34.246196
NA;19;1;1;NA;44.6504625
NA;42;1;0;145.415;39.3774555
NA;24;1;1;160.02;59.5622995
NA;16;1;1;147.32;40.312989
NA;71;1;1;164.465;52.16308
49.5;49.5;0;0;153.035;39.972795
NA;33;1;1;149.225;43.941725
NA;28;1;0;160.02;54.601137
NA;47;1;0;149.225;45.075705
NA;3;1;1;85.09;11.453198
NA;1;1;1;84.455;11.7650425
NA;1;1;0;59.6138;5.896696
NA;3;1;1;92.71;12.1052365
NA;6;1;0;111.125;18.313777
NA;5;1;0;90.805;11.3681495
NA;4;1;1;NA;NA
NA;2;1;1;NA;NA
0;0;0;1;NA;NA
NA;27;1;0;153.67;41.333571
NA;5;1;0;99.695;16.2442635
NA;23;1;1;NA;NA
2;2;0;0;NA;NA
NA;1;1;0;62.484;6.80388
NA;31;1;1;NA;NA
NA;2;1;1;81.915;11.8784405
NA;2;1;0;96.52;14.968536
NA;7;1;1;NA;NA
NA;1;1;1;80.01;9.865626
NA;55;1;0;150.495;41.900561
83.4000000000001;83.4000000000001;0;1;151.765;42.524
NA;NA;1;NA;NA;NA
NA;38;1;1;NA;52.616672
NA;12;1;1;140.6398;28.859791
NA;3;1;0;NA;NA
NA;2;1;0;88.265;12.7856245
NA;1;1;1;NA;NA
NA;63;1;1;158.115;43.147939
NA;52;1;0;149.225;40.82328
NA;49;1;1;151.765;42.864444
NA;31;1;0;154.94;46.209685
NA;9;1;0;123.825;20.581737
NA;6;1;0;104.14;15.87572
NA;35;1;1;161.29;47.853956
NA;35;1;0;148.59;42.52425
NA;7;1;0;97.155;17.066399
NA;5;1;1;93.345;13.1825175
NA;24;1;1;160.655;48.5059945
NA;41;1;1;157.48;45.869491
NA;50;1;1;NA;NA
NA;58;1;0;NA;NA
NA;38;1;0;NA;NA
NA;32;1;0;NA;NA
NA;18;1;0;NA;NA
NA;32;1;1;NA;NA
NA;23;1;0;NA;NA
NA;5;1;1;NA;NA
NA;1;1;1;NA;NA
NA;18;1;0;NA;NA
NA;3;1;1;NA;8.8733935
NA;32;1;1;167.005;52.900167
NA;43;1;1;157.48;47.570461
NA;6;1;0;91.44;12.927372
NA;1;1;0;NA;3.061746
NA;1;1;1;60.452;5.6699
0.5;0.5;0;1;NA;NA
NA;15;1;1;137.16;28.91649
63;63;0;0;152.4;43.544832
NA;NA;1;NA;NA;NA
NA;35;1;1;NA;56.7840485
NA;34;1;1;NA;51.085799
NA;NA;1;NA;NA;NA
NA;21;1;0;152.4;43.431434
0.2;0.2;0;1;NA;NA
NA;1;1;1;81.28;11.509897
NA;2;1;0;109.22;11.7083435
NA;1;1;1;71.12;7.540967
0.2;0.200000000000045;0;0;NA;NA
0.299999999999955;0.299999999999955;0;1;NA;NA
0.0999999999999091;0.0999999999999091;0;1;NA;NA
NA;3;1;0;89.2048;12.700576
NA;1;1;0;67.31;7.200773
NA;1;1;1;85.09;12.360382
NA;1;1;0;69.85;7.7961125
NA;1;1;0;NA;NA
62;62;0;1;NA;NA
NA;12;1;1;NA;NA
NA;55;1;0;161.925;53.2120115
NA;42;1;1;NA;NA
NA;38;1;0;152.4;44.678812
NA;3;1;1;88.9;12.5588285
NA;3;1;1;90.17;12.700576
NA;1;1;0;71.755;7.37087
NA;1;1;0;83.82;9.2135875
NA;28;1;1;159.385;47.2019175
NA;16;1;0;142.24;28.632995
NA;36;1;0;142.24;31.6663915
NA;38;1;1;168.91;56.4438545
NA;12;1;1;123.19;20.014747
NA;1;1;1;74.93;8.50485
NA;1;1;0;74.295;8.3064035
NA;3;1;0;90.805;11.623295
NA;48;1;1;160.02;55.791816
NA;1;1;0;67.945;7.9662095
NA;15;1;0;135.89;27.21552
NA;40;1;1;NA;56.302107
NA;30;1;0;NA;43.998424
NA;9;1;0;NA;22.5378525
NA;7;1;1;NA;18.427175
NA;4;1;1;NA;12.7856245
45;45;0;1;158.115;47.4854125
NA;68;1;0;NA;NA
NA;23;1;1;NA;51.9079345
NA;30;1;1;NA;NA
NA;3;1;1;85.09;10.8011595
NA;3;1;0;93.345;14.004653
NA;38;1;0;152.4;45.1607535
NA;21;1;0;155.575;45.529297
NA;50;1;0;154.305;48.874538
NA;41;1;1;156.845;46.5782285
NA;13;1;0;120.015;20.128145
NA;8;1;1;114.3;18.14368
NA;3;1;1;83.82;10.9145575
NA;NA;1;1;NA;64.750258
NA;30;1;0;156.21;43.885026
NA;12;1;1;137.16;27.158821
NA;7;1;1;114.3;19.050864
NA;4;1;0;93.98;13.834556
NA;21;1;1;168.275;56.0469615
NA;46;1;1;NA;NA
NA;41;1;0;NA;NA
NA;16;1;1;NA;NA
NA;22;1;1;NA;NA
NA;38;1;0;147.955;40.086193
NA;15;1;1;139.7;26.5634815
NA;NA;1;1;160.655;40.879979
NA;19;1;0;157.48;50.802304
NA;1;1;1;76.2;9.2135875
NA;1;1;1;66.04;7.5693165
NA;28;1;1;NA;NA
NA;31;1;1;160.7;46.3
NA;21;1;0;NA;49.554926
NA;1;1;0;NA;6.463686
NA;54;1;1;NA;NA
NA;32;1;1;NA;NA
NA;29;1;0;NA;NA
NA;8;1;0;114.3;19.4194075
NA;16;1;1;146.05;37.9032815
NA;21;1;1;161.29;49.3564795
NA;1;1;0;NA;5.7549485
NA;0;1;0;NA;8.7032965
NA;0;1;0;69.85;7.314171
NA;13;1;1;133.985;28.1510535
NA;0;1;1;67.945;7.824462
NA;50;1;0;150.495;44.111822
NA;39;1;1;163.195;51.0291
NA;44;1;1;148.59;40.766581
NA;36;1;0;148.59;37.5630875
NA;36;1;1;161.925;51.59609
NA;18;1;0;153.67;44.8205595
NA;0;1;0;68.58;8.0229085
NA;58;1;0;151.13;43.4030845
NA;58;1;1;163.83;46.719976
33;33;0;0;153.035;39.5475525
21.5;21.5;0;0;151.765;34.7848365
NA;11;1;1;132.08;22.792998
NA;26;1;1;156.21;39.292407
NA;22;1;0;140.335;37.4496895
NA;28;1;1;158.75;48.6760915
NA;42;1;0;142.875;35.606972
NA;2;1;1;84.455;9.3836845
NA;21;1;1;151.9428;43.714929
NA;19;1;1;161.29;48.19415
NA;13;1;1;127.9906;29.8520235
NA;48;1;1;160.9852;50.972401
46;46;0;0;144.78;43.998424
NA;11;1;1;132.08;28.292801
NA;8;1;1;117.983;20.354941
NA;25;1;1;160.02;48.19415
54;54;0;1;NA;NA
NA;49;1;0;NA;NA
NA;16;1;1;154.94;39.179009
12;12;0;0;NA;NA
NA;51;1;1;160.9852;46.6916265
NA;38;1;0;NA;44.565414
NA;5;1;1;NA;NA
3;3;0;0;NA;6.0384435
NA;25;1;1;165.989;56.415505
NA;20;1;0;NA;44
NA;2;1;1;NA;NA
NA;28;1;1;157.988;48.591043
NA;26;1;0;154.94;48.2224995
NA;5;1;1;97.9932;13.2959155
NA;1;1;0;64.135;6.6621325
NA;54;1;1;160.655;47.4854125
NA;66;1;0;147.32;35.550273
NA;24;1;1;NA;47.003471
NA;20;1;0;146.7;36.6
NA;25;1;0;147.32;48.9595865
0.6;0.6;0;1;NA;4.53592
NA;38;1;1;172.9994;51.255896
NA;51;1;1;158.115;46.5215295
NA;48;1;0;147.32;36.967748
NA;13;1;1;124.9934;25.117657
NA;6;1;1;106.045;16.272613
NA;27;1;1;165.989;48.647742
NA;22;1;0;149.86;38.045029
NA;1;1;0;76.2;8.50485
NA;60;1;1;161.925;47.286966
NA;15;1;0;140.0048;28.3495
NA;0;1;0;66.675;8.1363065
NA;0;1;1;62.865;7.200773
NA;43;1;1;163.83;55.394923
NA;40;1;0;NA;NA
NA;12;1;1;147.955;32.488527
NA;8;1;1;NA;NA
NA;21;1;0;NA;NA
NA;31;1;1;NA;48.080752
NA;27;1;1;160.02;54.204244
NA;30;1;1;154.94;48.477645
NA;29;1;0;152.4;43.0628905
NA;27;1;1;NA;NA
NA;0;1;0;62.23;7.257472
23;23;0;0;146.05;34.189497
NA;32;1;1;NA;NA
NA;30;1;0;151.9936;49.951819
NA;11;1;1;NA;21.829115
NA;5;1;0;NA;NA
NA;2;1;0;NA;10.4042665
NA;35;1;1;NA;NA
NA;17;1;1;157.48;41.3052215
NA;31;1;1;NA;NA
NA;28;1;1;NA;NA
NA;28;1;1;NA;NA
NA;2;1;0;NA;NA
NA;0;1;0;NA;5.953395
NA;0;1;0;NA;2.948348
NA;0;1;0;55.88;4.8477645
NA;0;1;1;60.96;6.23689
NA;41;1;0;151.765;44.338618
NA;43;1;0;NA;NA
NA;15;1;0;NA;31.808139
NA;41;1;1;NA;62.879191
NA;34;1;0;NA;43.9133755
NA;17;1;1;NA;NA
NA;15;1;0;NA;NA
NA;12;1;1;NA;NA
NA;8;1;0;NA;NA
NA;5;1;0;NA;NA
NA;1;1;0;NA;NA
9;9;0;1;NA;NA
NA;17;1;0;NA;NA
NA;42;1;0;144.78;33.45241
NA;7;1;0;118.11;16.896302
NA;3;1;0;78.105;8.221355
NA;30;1;0;NA;NA
43;43;0;1;160.655;47.286966
NA;35;1;0;151.13;46.1246365
NA;10;1;0;121.92;20.184844
NA;3;1;1;92.71;12.757275
75.5;75.5;0;1;153.67;47.400364
NA;64;1;0;147.32;40.8516295
NA;38;1;1;139.7;50.348712
24.2;24.2;0;0;157.48;45.132404
NA;4;1;0;91.44;11.623295
NA;26;1;1;154.94;42.240755
NA;19;1;0;143.51;41.6454155
NA;2;1;1;83.185;9.1568885
NA;43;1;1;158.115;45.2174525
NA;38;1;0;147.32;51.255896
NA;10;1;1;123.825;21.205426
NA;3;1;1;88.9;11.5949455
NA;23;1;1;160.02;49.271431
NA;16;1;0;137.16;27.952607
NA;49;1;1;165.1;51.199197
NA;41;1;0;154.94;43.8566765
NA;6;1;1;111.125;17.690088
NA;23;1;0;153.67;35.5219235
NA;14;1;0;145.415;34.246196
NA;14;1;0;NA;NA
NA;43;1;0;141.605;42.88542
NA;15;1;0;144.78;32.545226
NA;7;1;0;NA;11.7650425
NA;21;1;1;163.83;46.776675
NA;24;1;1;161.29;41.8722115
NA;20;1;1;154.9;38.2
NA;20;1;1;161.3;43.3
73.9;73.9;0;1;NA;NA
NA;67;1;0;NA;NA
NA;23;1;0;NA;NA
NA;5;1;1;NA;NA
NA;50;1;1;NA;NA
NA;45;1;0;NA;NA
NA;10;1;0;NA;NA
NA;15;1;1;NA;NA
NA;38;1;1;NA;NA
NA;35;1;0;NA;NA
NA;7;1;0;NA;NA
NA;4;1;1;NA;NA
NA;63;1;0;NA;NA
NA;53;1;0;NA;NA
NA;34;1;1;170.18;53.637254
NA;29;1;0;149.86;42.977842
NA;11;1;1;123.825;21.54562
NA;3;1;0;85.09;11.4248485
NA;65;1;1;160.655;39.7743485
NA;46;1;0;154.94;43.3463855
NA;10;1;1;NA;NA
NA;8;1;0;106.045;15.478827
NA;15;1;1;126.365;21.9141635
NA;39;1;1;NA;NA
NA;42;1;0;NA;NA
NA;11;1;1;NA;NA
NA;7;1;0;NA;NA
NA;4;1;1;NA;NA
NA;54;1;1;NA;NA
NA;17;1;1;NA;NA
NA;32;1;1;NA;NA
22;22;0;0;NA;NA
NA;28;1;1;NA;NA
NA;22;1;0;NA;NA
NA;49;1;1;NA;NA
NA;45;1;0;NA;NA
NA;1;1;0;NA;NA
NA;43;1;1;166.37;52.673371
NA;39;1;0;148.2852;38.441922
NA;12;1;0;124.46;19.27766
NA;8;1;1;NA;NA
NA;3;1;1;89.535;11.113004
NA;4;1;0;101.6;13.494362
NA;2;1;0;NA;NA
NA;8;1;0;NA;NA
NA;11;1;0;NA;NA
NA;4;1;0;NA;NA
NA;38;1;0;NA;NA
NA;46;1;0;NA;NA
NA;38;1;1;NA;NA
NA;62;1;0;NA;NA
NA;49;1;0;NA;NA
NA;0;1;0;NA;NA
NA;0;1;1;NA;NA
33;33;0;1;NA;NA
NA;0;1;0;NA;NA
NA;0;1;1;NA;NA
NA;6;1;0;NA;NA
NA;43;1;0;151.765;42.807745
NA;33;1;1;NA;NA
NA;30;1;0;NA;NA
NA;33;1;1;NA;NA
NA;26;1;0;NA;NA
NA;70;1;0;148.59;35.890467
NA;33;1;1;NA;NA
NA;25;1;0;NA;NA
NA;0;1;0;NA;NA
NA;26;1;0;153.67;44.22522
NA;0;1;0;53.975;4.252425
NA;48;1;0;146.685;38.0733785
NA;0;1;0;56.515;5.159609
NA;5;1;1;100.965;14.3164975
NA;8;1;1;121.92;23.2182405
NA;5;1;1;NA;NA
NA;0;1;0;NA;NA
NA;0;1;1;NA;NA
NA;46;1;1;NA;NA
NA;33;1;0;NA;NA
NA;0;1;0;NA;NA
