"tooth_class";"specimen";"num_amtl";"sockets";"age";"stdev_age";"prob_male";"genus";"pop"
"Premolar";"AMNH99.1/59";2;8;48.8;10.5;0.25;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/59-B";0;6;40;10;0.25;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/59-B";0;6;40;10;0.25;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/59-B";0;4;40;10;0.25;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/60";0;6;37.8538959;6.96111299;0.5;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/60";2;6;37.8538959;6.96111299;0.5;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/60";0;4;37.8538959;6.96111299;0.5;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/61";0;12;34.3166852;6.19980411;0.75;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/61";0;12;34.3166852;6.19980411;0.75;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/61";0;8;34.3166852;6.19980411;0.75;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/64";4;12;43.1468959;7.47240717;0.25;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/64";2;10;43.1468959;7.47240717;0.25;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/64";0;8;43.1468959;7.47240717;0.25;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/72";0;12;46.1073874;8.74186019;0.75;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/72";1;11;46.1073874;8.74186019;0.75;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/72";0;8;46.1073874;8.74186019;0.75;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/75-A";0;12;31.3690097;5.56672472;0.75;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/75-A";0;12;31.3690097;5.56672472;0.75;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/75-A";0;8;31.3690097;5.56672472;0.75;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/77";0;12;45.2;12.6;0.75;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/77";4;11;45.2;12.6;0.75;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/77";0;8;45.2;12.6;0.75;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/79";0;6;39.4;9.1;0.25;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/79";2;6;39.4;9.1;0.25;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/79";0;4;39.4;9.1;0.25;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/80(a)";0;6;46.1073874;8.74186019;0.75;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/80(a)";0;6;46.1073874;8.74186019;0.75;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/80(a)";1;4;46.1073874;8.74186019;0.75;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/80(b)";0;6;43.749247;8.23260632;0.75;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/80(b)";0;5;43.749247;8.23260632;0.75;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/80(b)";0;4;43.749247;8.23260632;0.75;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/83-A";3;12;32.0178426;3.7220627;0.25;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/83-A";2;10;32.0178426;3.7220627;0.25;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/83-A";2;8;32.0178426;3.7220627;0.25;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/84-A";0;12;30.7794746;5.44029653;0.25;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/84-A";0;12;30.7794746;5.44029653;0.25;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/84-A";0;8;30.7794746;5.44029653;0.25;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/84-B";4;12;48.8;10.5;0.25;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/84-B";6;8;48.8;10.5;0.25;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/84-B";2;8;48.8;10.5;0.25;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/84-C";3;6;46.1073874;8.74186019;0.25;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/84-C";0;6;46.1073874;8.74186019;0.25;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/84-C";0;4;46.1073874;8.74186019;0.25;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/84-D";0;6;33.137615;5.94640065;0.25;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/84-D";0;6;33.137615;5.94640065;0.25;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/84-D";0;4;33.137615;5.94640065;0.25;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/86-C";2;12;47.2736416;8.3605854;0.25;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/86-C";1;11;47.2736416;8.3605854;0.25;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/86-C";2;8;47.2736416;8.3605854;0.25;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/86-D";4;12;50.8236683;9.7611705;0.25;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/86-D";2;8;50.8236683;9.7611705;0.25;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/86-D";3;8;50.8236683;9.7611705;0.25;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/87";2;12;45.2;12.6;0.75;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/87";4;9;45.2;12.6;0.75;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/87";2;8;45.2;12.6;0.75;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/89-A";0;12;43.749247;8.23260632;0.75;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/89-A";0;12;43.749247;8.23260632;0.75;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/89-A";0;8;43.749247;8.23260632;0.75;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/89-B";0;12;28.4213341;4.93536963;0.75;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/89-B";0;12;28.4213341;4.93536963;0.75;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/89-B";0;8;28.4213341;4.93536963;0.75;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/90";3;12;55;15;0.75;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/90";6;10;55;15;0.75;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/90";3;8;55;15;0.75;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/91-A";4;12;31.9585448;5.69322104;0.75;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/91-A";6;12;31.9585448;5.69322104;0.75;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/91-A";1;8;31.9585448;5.69322104;0.75;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/91-B";1;12;50.8236683;9.7611705;0.5;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/91-B";7;10;50.8236683;9.7611705;0.5;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/91-B";1;8;50.8236683;9.7611705;0.5;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/94";0;12;34.3166852;6.19980411;0.25;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/94";0;12;34.3166852;6.19980411;0.25;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/94";0;8;34.3166852;6.19980411;0.25;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/96-A";0;12;37.8538959;6.96111299;0.75;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/96-A";0;12;37.8538959;6.96111299;0.75;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/96-A";0;8;37.8538959;6.96111299;0.75;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/97";4;12;36.6748257;6.70718105;0.75;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/97";3;10;36.6748257;6.70718105;0.75;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/97";1;8;36.6748257;6.70718105;0.75;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/98";0;12;30.7794746;5.44029653;0.75;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/98";1;12;30.7794746;5.44029653;0.75;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/98";1;8;30.7794746;5.44029653;0.75;"Homo sapiens";"Alaska"
"Anterior";"AMNH99.1/99";0;12;31.9585448;5.69322104;0.25;"Homo sapiens";"Alaska"
"Posterior";"AMNH99.1/99";0;12;31.9585448;5.69322104;0.25;"Homo sapiens";"Alaska"
"Premolar";"AMNH99.1/99";0;8;31.9585448;5.69322104;0.25;"Homo sapiens";"Alaska"
"Anterior";"BM1868.4.16.2";0;12;12.47378;3.29146087;1;"Pongo";"Borneo"
"Posterior";"BM1868.4.16.2";0;12;12.47378;3.29146087;1;"Pongo";"Borneo"
"Premolar";"BM1868.4.16.2";0;8;12.47378;3.29146087;1;"Pongo";"Borneo"
"Anterior";"BM1884.10.30.1";0;6;13.686453;3.71761878;1;"Pongo";"Borneo"
"Posterior";"BM1884.10.30.1";0;6;13.686453;3.71761878;1;"Pongo";"Borneo"
"Premolar";"BM1884.10.30.1";0;4;13.686453;3.71761878;1;"Pongo";"Borneo"
"Anterior";"BM1884.10.30.2";2;12;13.686453;3.71761878;1;"Pongo";"Borneo"
"Posterior";"BM1884.10.30.2";0;12;13.686453;3.71761878;1;"Pongo";"Borneo"
"Premolar";"BM1884.10.30.2";0;8;13.686453;3.71761878;1;"Pongo";"Borneo"
"Anterior";"BM1886.12.20.10";0;12;14.1715222;3.88831042;1;"Pongo";"Borneo"
"Posterior";"BM1886.12.20.10";0;12;14.1715222;3.88831042;1;"Pongo";"Borneo"
"Premolar";"BM1886.12.20.10";0;8;14.1715222;3.88831042;1;"Pongo";"Borneo"
"Anterior";"BM1898.2.28.11";0;12;13.9289876;3.80295048;1;"Pongo";"Borneo"
"Posterior";"BM1898.2.28.11";0;12;13.9289876;3.80295048;1;"Pongo";"Borneo"
"Premolar";"BM1898.2.28.11";0;8;13.9289876;3.80295048;1;"Pongo";"Borneo"
"Anterior";"BM1899.11.6.1";0;12;17.1217143;3.06608828;0;"Papio";"Arabia"
"Posterior";"BM1899.11.6.1";0;12;17.1217143;3.06608828;0;"Papio";"Arabia"
"Premolar";"BM1899.11.6.1";0;8;17.1217143;3.06608828;0;"Papio";"Arabia"
"Anterior";"BM1899.6.10.2";0;12;18.5922731;3.4773143;1;"Papio";"East Africa"
"Posterior";"BM1899.6.10.2";0;12;18.5922731;3.4773143;1;"Papio";"East Africa"
"Premolar";"BM1899.6.10.2";0;8;18.5922731;3.4773143;1;"Papio";"East Africa"
"Anterior";"BM1899.7.8.1";0;12;23.0253446;4.35428022;1;"Papio";"East Africa"
"Posterior";"BM1899.7.8.1";0;12;23.0253446;4.35428022;1;"Papio";"East Africa"
"Premolar";"BM1899.7.8.1";0;8;23.0253446;4.35428022;1;"Papio";"East Africa"
"Anterior";"BM1900.3.18.1";0;12;18.5922731;3.4773143;1;"Papio";"East Africa"
"Posterior";"BM1900.3.18.1";0;12;18.5922731;3.4773143;1;"Papio";"East Africa"
"Premolar";"BM1900.3.18.1";0;8;18.5922731;3.4773143;1;"Papio";"East Africa"
"Anterior";"BM1900.6.28.1";0;12;11.454619;2.00186723;1;"Papio";"Arabia"
"Posterior";"BM1900.6.28.1";0;12;11.454619;2.00186723;1;"Papio";"Arabia"
"Premolar";"BM1900.6.28.1";0;8;11.454619;2.00186723;1;"Papio";"Arabia"
"Anterior";"BM1901.2.13.1";0;12;18.9952796;3.55691242;1;"Papio";"West Africa"
"Posterior";"BM1901.2.13.1";0;12;18.9952796;3.55691242;1;"Papio";"West Africa"
"Premolar";"BM1901.2.13.1";0;8;18.9952796;3.55691242;1;"Papio";"West Africa"
"Anterior";"BM1901.8.9.23";0;12;18.5922731;3.4773143;0;"Papio";"East Africa"
"Posterior";"BM1901.8.9.23";0;12;18.5922731;3.4773143;0;"Papio";"East Africa"
"Premolar";"BM1901.8.9.23";0;8;18.5922731;3.4773143;0;"Papio";"East Africa"
"Anterior";"BM1902.11.22.1";0;12;12.485;2.19399907;1;"Papio";"Arabia"
"Posterior";"BM1902.11.22.1";0;12;12.485;2.19399907;1;"Papio";"Arabia"
"Premolar";"BM1902.11.22.1";0;8;12.485;2.19399907;1;"Papio";"Arabia"
"Anterior";"BM1902.9.2.1";0;12;19.8012926;3.71619727;1;"Papio";"East Africa"
"Posterior";"BM1902.9.2.1";0;12;19.8012926;3.71619727;1;"Papio";"East Africa"
"Premolar";"BM1902.9.2.1";0;8;19.8012926;3.71619727;1;"Papio";"East Africa"
"Anterior";"BM1902.9.9.3";0;12;22.6223381;4.27445115;1;"Papio";"East Africa"
"Posterior";"BM1902.9.9.3";0;9;22.6223381;4.27445115;1;"Papio";"East Africa"
"Premolar";"BM1902.9.9.3";0;8;22.6223381;4.27445115;1;"Papio";"East Africa"
"Anterior";"BM1904.11.5.2";0;12;21.4133186;4.03507241;1;"Papio";"East Africa"
"Posterior";"BM1904.11.5.2";0;12;21.4133186;4.03507241;1;"Papio";"East Africa"
"Premolar";"BM1904.11.5.2";0;8;21.4133186;4.03507241;1;"Papio";"East Africa"
"Anterior";"BM1904.8.2.1";0;12;12.485;2.19399907;1;"Papio";"Arabia"
"Posterior";"BM1904.8.2.1";0;12;12.485;2.19399907;1;"Papio";"Arabia"
"Premolar";"BM1904.8.2.1";0;8;12.485;2.19399907;1;"Papio";"Arabia"
"Anterior";"BM1904.8.2.3";0;12;17.1217143;3.06608828;1;"Papio";"East Africa"
"Posterior";"BM1904.8.2.3";0;12;17.1217143;3.06608828;1;"Papio";"East Africa"
"Premolar";"BM1904.8.2.3";0;8;17.1217143;3.06608828;1;"Papio";"East Africa"
"Anterior";"BM1905.5.10.1";0;12;21.8163251;4.1148462;1;"Papio";"West Africa"
"Posterior";"BM1905.5.10.1";0;12;21.8163251;4.1148462;1;"Papio";"West Africa"
"Premolar";"BM1905.5.10.1";0;8;21.8163251;4.1148462;1;"Papio";"West Africa"
"Anterior";"BM1906.11.1.6";0;12;20.2042991;3.79588028;1;"Papio";"East Africa"
"Posterior";"BM1906.11.1.6";0;12;20.2042991;3.79588028;1;"Papio";"East Africa"
"Premolar";"BM1906.11.1.6";0;8;20.2042991;3.79588028;1;"Papio";"East Africa"
"Anterior";"BM1907.7.8.11";0;12;19.8012926;3.71619727;1;"Papio";"Central Africa"
"Posterior";"BM1907.7.8.11";0;12;19.8012926;3.71619727;1;"Papio";"Central Africa"
"Premolar";"BM1907.7.8.11";0;8;19.8012926;3.71619727;1;"Papio";"Central Africa"
"Anterior";"BM1908.7.17.1";0;6;16.5968682;4.74312763;1;"Pongo";"Borneo"
"Posterior";"BM1908.7.17.1";0;6;16.5968682;4.74312763;1;"Pongo";"Borneo"
"Premolar";"BM1908.7.17.1";0;4;16.5968682;4.74312763;1;"Pongo";"Borneo"
"Anterior";"BM1908.8.9.41";0;6;19.3982861;3.63654073;1;"Papio";"East Africa"
"Posterior";"BM1908.8.9.41";0;6;19.3982861;3.63654073;1;"Papio";"East Africa"
"Premolar";"BM1908.8.9.41";0;4;19.3982861;3.63654073;1;"Papio";"East Africa"
"Anterior";"BM1908.8.9.42";0;12;23.8313576;4.51398683;0;"Papio";"East Africa"
"Posterior";"BM1908.8.9.42";0;12;23.8313576;4.51398683;0;"Papio";"East Africa"
"Premolar";"BM1908.8.9.42";0;8;23.8313576;4.51398683;0;"Papio";"East Africa"
"Anterior";"BM1909.6.11";0;12;14.0305714;2.48359763;1;"Papio";"East Africa"
"Posterior";"BM1909.6.11";0;12;14.0305714;2.48359763;1;"Papio";"East Africa"
"Premolar";"BM1909.6.11";0;8;14.0305714;2.48359763;1;"Papio";"East Africa"
"Anterior";"BM1910.10.3.1";0;12;13.0001905;2.29036872;1;"Papio";"East Africa"
"Posterior";"BM1910.10.3.1";0;9;13.0001905;2.29036872;1;"Papio";"East Africa"
"Premolar";"BM1910.10.3.1";0;7;13.0001905;2.29036872;1;"Papio";"East Africa"
"Anterior";"BM1911.12.1.1";0;12;18.1892666;3.39774848;1;"Papio";"East Africa"
"Posterior";"BM1911.12.1.1";0;12;18.1892666;3.39774848;1;"Papio";"East Africa"
"Premolar";"BM1911.12.1.1";0;8;18.1892666;3.39774848;1;"Papio";"East Africa"
"Anterior";"BM1913.10.18.2";0;12;19.3982861;3.63654073;1;"Papio";"East Africa"
"Posterior";"BM1913.10.18.2";0;12;19.3982861;3.63654073;1;"Papio";"East Africa"
"Premolar";"BM1913.10.18.2";1;8;19.3982861;3.63654073;1;"Papio";"East Africa"
"Anterior";"BM1913.10.18.3";0;6;24.2343641;4.59386268;1;"Papio";"East Africa"
"Posterior";"BM1913.10.18.3";0;6;24.2343641;4.59386268;1;"Papio";"East Africa"
"Premolar";"BM1913.10.18.3";0;4;24.2343641;4.59386268;1;"Papio";"East Africa"
"Anterior";"BM1914.3.8.2";0;12;26.6524031;5.07338879;0;"Papio";"East Africa"
"Posterior";"BM1914.3.8.2";0;12;26.6524031;5.07338879;0;"Papio";"East Africa"
"Premolar";"BM1914.3.8.2";0;8;26.6524031;5.07338879;0;"Papio";"East Africa"
"Anterior";"BM1918.11.8.1";0;6;22.6223381;4.27445115;1;"Papio";"East Africa"
"Posterior";"BM1918.11.8.1";0;6;22.6223381;4.27445115;1;"Papio";"East Africa"
"Premolar";"BM1918.11.8.1";0;4;22.6223381;4.27445115;1;"Papio";"East Africa"
"Anterior";"BM1922.12.19.6";0;12;18.1892666;3.39774848;1;"Papio";"Central Africa"
"Posterior";"BM1922.12.19.6";0;12;18.1892666;3.39774848;1;"Papio";"Central Africa"
"Premolar";"BM1922.12.19.6";0;8;18.1892666;3.39774848;1;"Papio";"Central Africa"
"Anterior";"BM1923.3.4.3";0;12;28.2644291;5.39328887;0;"Papio";"East Africa"
"Posterior";"BM1923.3.4.3";0;12;28.2644291;5.39328887;0;"Papio";"East Africa"
"Premolar";"BM1923.3.4.3";0;8;28.2644291;5.39328887;0;"Papio";"East Africa"
"Anterior";"BM1924.2.25.1";0;12;20.6073056;3.87558812;1;"Papio";"East Africa"
"Posterior";"BM1924.2.25.1";0;12;20.6073056;3.87558812;1;"Papio";"East Africa"
"Premolar";"BM1924.2.25.1";0;8;20.6073056;3.87558812;1;"Papio";"East Africa"
"Anterior";"BM1924.8.6.15";0;12;19.3982861;3.63654073;1;"Papio";"West Africa"
"Posterior";"BM1924.8.6.15";0;12;19.3982861;3.63654073;1;"Papio";"West Africa"
"Premolar";"BM1924.8.6.15";0;8;19.3982861;3.63654073;1;"Papio";"West Africa"
"Anterior";"BM1924.8.6.16";0;12;24.2343641;4.59386268;0;"Papio";"West Africa"
"Posterior";"BM1924.8.6.16";0;12;24.2343641;4.59386268;0;"Papio";"West Africa"
"Premolar";"BM1924.8.6.16";0;8;24.2343641;4.59386268;0;"Papio";"West Africa"
"Anterior";"BM1925.5.12.1";0;12;21.8163251;4.1148462;1;"Papio";"West Africa"
"Posterior";"BM1925.5.12.1";0;12;21.8163251;4.1148462;1;"Papio";"West Africa"
"Premolar";"BM1925.5.12.1";0;8;21.8163251;4.1148462;1;"Papio";"West Africa"
"Anterior";"BM1927.8.14.1";0;6;16.0913333;2.87155209;0;"Papio";"East Africa"
"Posterior";"BM1927.8.14.1";0;6;16.0913333;2.87155209;0;"Papio";"East Africa"
"Premolar";"BM1927.8.14.1";0;4;16.0913333;2.87155209;0;"Papio";"East Africa"
"Anterior";"BM1930.12.1.2";0;12;20.2042991;3.79588028;0;"Papio";"East Africa"
"Posterior";"BM1930.12.1.2";0;12;20.2042991;3.79588028;0;"Papio";"East Africa"
"Premolar";"BM1930.12.1.2";0;8;20.2042991;3.79588028;0;"Papio";"East Africa"
"Anterior";"BM1931.4.1.1";0;12;19.3982861;3.63654073;1;"Papio";"East Africa"
"Posterior";"BM1931.4.1.1";0;12;19.3982861;3.63654073;1;"Papio";"East Africa"
"Premolar";"BM1931.4.1.1";0;8;19.3982861;3.63654073;1;"Papio";"East Africa"
"Anterior";"BM1932.7.6.1";0;12;13.515381;2.38690817;1;"Papio";"East Africa"
"Posterior";"BM1932.7.6.1";0;12;13.515381;2.38690817;1;"Papio";"East Africa"
"Premolar";"BM1932.7.6.1";0;8;13.515381;2.38690817;1;"Papio";"East Africa"
"Anterior";"BM1934.11.20.1";0;12;18.5922731;3.4773143;1;"Papio";"East Africa"
"Posterior";"BM1934.11.20.1";0;12;18.5922731;3.4773143;1;"Papio";"East Africa"
"Premolar";"BM1934.11.20.1";0;8;18.5922731;3.4773143;1;"Papio";"East Africa"
"Anterior";"BM1935.10.22.24";0;6;21.0103121;3.95531929;0;"Papio";"West Africa"
"Posterior";"BM1935.10.22.24";0;6;21.0103121;3.95531929;0;"Papio";"West Africa"
"Premolar";"BM1935.10.22.24";0;4;21.0103121;3.95531929;0;"Papio";"West Africa"
"Anterior";"BM1935.2.14.1";0;12;19.3982861;3.63654073;1;"Papio";"East Africa"
"Posterior";"BM1935.2.14.1";0;12;19.3982861;3.63654073;1;"Papio";"East Africa"
"Premolar";"BM1935.2.14.1";0;8;19.3982861;3.63654073;1;"Papio";"East Africa"
"Anterior";"BM1936.12.28.1";0;12;18.5922731;3.4773143;1;"Papio";"East Africa"
"Posterior";"BM1936.12.28.1";0;12;18.5922731;3.4773143;1;"Papio";"East Africa"
"Premolar";"BM1936.12.28.1";0;8;18.5922731;3.4773143;1;"Papio";"East Africa"
"Anterior";"BM1936.12.28.2";0;12;18.5922731;3.4773143;1;"Papio";"East Africa"
"Posterior";"BM1936.12.28.2";0;12;18.5922731;3.4773143;1;"Papio";"East Africa"
"Premolar";"BM1936.12.28.2";0;8;18.5922731;3.4773143;1;"Papio";"East Africa"
"Anterior";"BM1938.7.17.1";1;12;32.6684551;6.16831052;1;"Papio";"Central Africa"
"Posterior";"BM1938.7.17.1";0;12;32.6684551;6.16831052;1;"Papio";"Central Africa"
"Premolar";"BM1938.7.17.1";0;8;32.6684551;6.16831052;1;"Papio";"Central Africa"
"Anterior";"BM1939.1005";0;6;14.1715222;3.88831042;1;"Pongo";"Borneo"
"Posterior";"BM1939.1005";0;6;14.1715222;3.88831042;1;"Pongo";"Borneo"
"Premolar";"BM1939.1005";0;4;14.1715222;3.88831042;1;"Pongo";"Borneo"
"Anterior";"BM1939.1006";0;6;11.2611071;2.86641;1;"Pongo";"Borneo"
"Posterior";"BM1939.1006";0;6;11.2611071;2.86641;1;"Pongo";"Borneo"
"Premolar";"BM1939.1006";0;4;11.2611071;2.86641;1;"Pongo";"Borneo"
"Anterior";"BM1939.1007";0;12;9.80589949;2.35865298;0;"Pongo";"Borneo"
"Posterior";"BM1939.1007";0;12;9.80589949;2.35865298;0;"Pongo";"Borneo"
"Premolar";"BM1939.1007";0;8;9.80589949;2.35865298;0;"Pongo";"Borneo"
"Anterior";"BM1939.1008";0;12;11.2611071;2.86641;0;"Pongo";"Borneo"
"Posterior";"BM1939.1008";0;12;11.2611071;2.86641;0;"Pongo";"Borneo"
"Premolar";"BM1939.1008";0;8;11.2611071;2.86641;0;"Pongo";"Borneo"
"Anterior";"BM1939.1021";0;12;20.6073056;3.87558812;1;"Papio";"West Africa"
"Posterior";"BM1939.1021";0;12;20.6073056;3.87558812;1;"Papio";"West Africa"
