fish_caught;livebait;camper;persons;child;hours
2;1;1;2;1;1.82
10;1;1;3;0;13.179
0;0;1;1;0;5.104
0;1;1;1;0;6.946
0;0;0;1;0;1.157
2;0;1;2;0;19.554
1;1;1;2;0;3.624
3;1;0;1;0;2.723
0;1;1;3;1;0.362
0;1;1;4;2;0.092
21;1;1;2;0;3.658
0;1;0;2;1;0.125
0;1;0;2;0;9.964
2;0;1;1;0;9.075
0;0;1;2;1;4.811
3;1;1;4;1;0.42
0;1;1;3;1;0.315
38;1;1;4;0;3.285
0;1;1;4;3;0.01
0;1;1;1;0;11.767
0;1;0;1;0;1.293
1;1;1;1;0;18.708
3;1;0;1;0;35.388
0;1;1;1;0;4.083
1;1;0;2;0;9.216
0;1;0;4;2;0.009
0;0;0;2;1;0.324
0;1;0;4;2;0.041
0;1;0;3;1;0.067
5;1;1;4;2;1.775
0;1;0;4;2;0.113
0;0;0;4;1;0.275
2;1;0;3;0;1.005
0;1;1;2;1;4.349
0;1;1;1;0;2.606
0;1;0;2;1;0.515
1;1;1;2;0;17.493
4;1;1;3;1;20.896
0;1;0;1;0;1.843
0;1;1;3;2;0.095
2;1;1;2;1;3.955
3;1;1;1;0;8.508
0;1;0;4;2;0.064
0;1;0;3;1;0.168
0;1;0;2;0;2.724
0;0;0;2;0;0.643
1;1;1;1;0;25.568
2;1;1;2;0;2.583
0;1;1;1;0;2.14
6;1;1;3;0;8.663
4;1;1;2;0;2.529
1;1;1;2;0;35.574
1;1;1;4;2;0.268
0;0;0;2;0;2.88
1;1;1;3;1;0.48
0;1;0;3;0;3.727
0;1;1;2;0;10.219
0;1;1;4;3;0.004
0;1;1;2;1;1.969
0;1;1;3;2;0.075
0;1;1;2;1;0.233
