"case";"response";"order";"id";"age";"male";"edu";"action";"intention";"contact";"story";"action2"
"ikpon";1;13;"96;445";53;1;"Bachelor's Degree";1;1;0;"pon";1
"ikshi";7;16;"96;445";53;1;"Bachelor's Degree";1;1;0;"shi";1
"ikspe";2;5;"96;445";53;1;"Bachelor's Degree";1;1;0;"spe";1
"ilbox";7;23;"96;445";53;1;"Bachelor's Degree";0;1;0;"box";0
"ilche";1;27;"96;445";53;1;"Bachelor's Degree";0;1;0;"che";0
"ilpon";2;22;"96;445";53;1;"Bachelor's Degree";0;1;0;"pon";0
"ilsha";7;12;"96;445";53;1;"Bachelor's Degree";0;1;0;"sha";0
"ilshi";1;7;"96;445";53;1;"Bachelor's Degree";0;1;0;"shi";0
"ilswi";7;9;"96;445";53;1;"Bachelor's Degree";0;1;0;"swi";0
"nfrub";4;26;"96;445";53;1;"Bachelor's Degree";1;0;0;"rub";1
"cfaqu";1;20;"96;451";57;1;"Some College";0;0;1;"aqu";1
"cfbur";1;32;"96;451";57;1;"Some College";0;0;1;"bur";1
"cfrub";1;7;"96;451";57;1;"Some College";0;0;1;"rub";1
"cibox";1;12;"96;451";57;1;"Some College";0;1;1;"box";1
"cibur";1;23;"96;451";57;1;"Some College";0;1;1;"bur";1
"cispe";1;27;"96;451";57;1;"Some College";0;1;1;"spe";1
"fkaqu";1;29;"96;451";57;1;"Some College";1;0;0;"aqu";1
"fkboa";1;11;"96;451";57;1;"Some College";1;0;0;"boa";1
"fkbox";1;22;"96;451";57;1;"Some College";1;0;0;"box";1
"fkbur";1;14;"96;451";57;1;"Some College";1;0;0;"bur";1
"fkcar";1;30;"96;451";57;1;"Some College";1;0;0;"car";1
"fkspe";1;9;"96;451";57;1;"Some College";1;0;0;"spe";1
"fkswi";1;25;"96;451";57;1;"Some College";1;0;0;"swi";1
"flboa";4;2;"96;451";57;1;"Some College";0;0;0;"boa";0
"flcar";4;21;"96;451";57;1;"Some College";0;0;0;"car";0
"flche";7;4;"96;451";57;1;"Some College";0;0;0;"che";0
"flsha";4;28;"96;451";57;1;"Some College";0;0;0;"sha";0
"flswi";4;6;"96;451";57;1;"Some College";0;0;0;"swi";0
"ikbox";1;3;"96;451";57;1;"Some College";1;1;0;"box";1
"ikbur";1;5;"96;451";57;1;"Some College";1;1;0;"bur";1
"ikpon";1;1;"96;451";57;1;"Some College";1;1;0;"pon";1
"ikshi";1;17;"96;451";57;1;"Some College";1;1;0;"shi";1
"ikspe";1;19;"96;451";57;1;"Some College";1;1;0;"spe";1
"ilbox";7;31;"96;451";57;1;"Some College";0;1;0;"box";0
"ilche";7;13;"96;451";57;1;"Some College";0;1;0;"che";0
"ilpon";4;10;"96;451";57;1;"Some College";0;1;0;"pon";0
"ilsha";1;18;"96;451";57;1;"Some College";0;1;0;"sha";0
"ilshi";4;26;"96;451";57;1;"Some College";0;1;0;"shi";0
"ilswi";4;15;"96;451";57;1;"Some College";0;1;0;"swi";0
"nfrub";1;16;"96;451";57;1;"Some College";1;0;0;"rub";1
"cfaqu";1;2;"96;456";63;1;"Bachelor's Degree";0;0;1;"aqu";1
"cfbur";1;31;"96;456";63;1;"Bachelor's Degree";0;0;1;"bur";1
"cfrub";1;16;"96;456";63;1;"Bachelor's Degree";0;0;1;"rub";1
"cibox";1;32;"96;456";63;1;"Bachelor's Degree";0;1;1;"box";1
"cibur";1;4;"96;456";63;1;"Bachelor's Degree";0;1;1;"bur";1
"cispe";1;9;"96;456";63;1;"Bachelor's Degree";0;1;1;"spe";1
"fkaqu";1;29;"96;456";63;1;"Bachelor's Degree";1;0;0;"aqu";1
"fkboa";1;12;"96;456";63;1;"Bachelor's Degree";1;0;0;"boa";1
"fkbox";4;23;"96;456";63;1;"Bachelor's Degree";1;0;0;"box";1
"fkbur";4;22;"96;456";63;1;"Bachelor's Degree";1;0;0;"bur";1
"fkcar";7;27;"96;456";63;1;"Bachelor's Degree";1;0;0;"car";1
"fkspe";1;19;"96;456";63;1;"Bachelor's Degree";1;0;0;"spe";1
"fkswi";4;14;"96;456";63;1;"Bachelor's Degree";1;0;0;"swi";1
"flboa";7;3;"96;456";63;1;"Bachelor's Degree";0;0;0;"boa";0
"flcar";7;18;"96;456";63;1;"Bachelor's Degree";0;0;0;"car";0
"flche";7;15;"96;456";63;1;"Bachelor's Degree";0;0;0;"che";0
"flsha";7;30;"96;456";63;1;"Bachelor's Degree";0;0;0;"sha";0
"flswi";7;5;"96;456";63;1;"Bachelor's Degree";0;0;0;"swi";0
"ikbox";1;1;"96;456";63;1;"Bachelor's Degree";1;1;0;"box";1
"ikbur";1;13;"96;456";63;1;"Bachelor's Degree";1;1;0;"bur";1
"ikpon";1;20;"96;456";63;1;"Bachelor's Degree";1;1;0;"pon";1
"ikshi";4;17;"96;456";63;1;"Bachelor's Degree";1;1;0;"shi";1
"ikspe";1;28;"96;456";63;1;"Bachelor's Degree";1;1;0;"spe";1
"ilbox";7;10;"96;456";63;1;"Bachelor's Degree";0;1;0;"box";0
"ilche";7;6;"96;456";63;1;"Bachelor's Degree";0;1;0;"che";0
"ilpon";7;11;"96;456";63;1;"Bachelor's Degree";0;1;0;"pon";0
"ilsha";4;21;"96;456";63;1;"Bachelor's Degree";0;1;0;"sha";0
"ilshi";7;26;"96;456";63;1;"Bachelor's Degree";0;1;0;"shi";0
"ilswi";7;24;"96;456";63;1;"Bachelor's Degree";0;1;0;"swi";0
"nfrub";7;7;"96;456";63;1;"Bachelor's Degree";1;0;0;"rub";1
"cfaqu";4;31;"96;458";39;0;"Master's Degree";0;0;1;"aqu";1
"cfbur";1;2;"96;458";39;0;"Master's Degree";0;0;1;"bur";1
"cfrub";1;17;"96;458";39;0;"Master's Degree";0;0;1;"rub";1
"cibox";1;1;"96;458";39;0;"Master's Degree";0;1;1;"box";1
"cibur";1;29;"96;458";39;0;"Master's Degree";0;1;1;"bur";1
"cispe";1;24;"96;458";39;0;"Master's Degree";0;1;1;"spe";1
"fkaqu";4;4;"96;458";39;0;"Master's Degree";1;0;0;"aqu";1
"fkboa";1;21;"96;458";39;0;"Master's Degree";1;0;0;"boa";1
"fkbox";1;10;"96;458";39;0;"Master's Degree";1;0;0;"box";1
"fkbur";1;11;"96;458";39;0;"Master's Degree";1;0;0;"bur";1
"fkcar";1;6;"96;458";39;0;"Master's Degree";1;0;0;"car";1
"fkspe";1;14;"96;458";39;0;"Master's Degree";1;0;0;"spe";1
"fkswi";1;19;"96;458";39;0;"Master's Degree";1;0;0;"swi";1
"flboa";4;30;"96;458";39;0;"Master's Degree";0;0;0;"boa";0
"flcar";7;15;"96;458";39;0;"Master's Degree";0;0;0;"car";0
"flche";4;18;"96;458";39;0;"Master's Degree";0;0;0;"che";0
"flsha";4;3;"96;458";39;0;"Master's Degree";0;0;0;"sha";0
"flswi";1;28;"96;458";39;0;"Master's Degree";0;0;0;"swi";0
"ikbox";1;32;"96;458";39;0;"Master's Degree";1;1;0;"box";1
"ikbur";1;20;"96;458";39;0;"Master's Degree";1;1;0;"bur";1
"ikpon";1;13;"96;458";39;0;"Master's Degree";1;1;0;"pon";1
"ikshi";1;16;"96;458";39;0;"Master's Degree";1;1;0;"shi";1
"ikspe";1;5;"96;458";39;0;"Master's Degree";1;1;0;"spe";1
"ilbox";1;23;"96;458";39;0;"Master's Degree";0;1;0;"box";0
"ilche";4;27;"96;458";39;0;"Master's Degree";0;1;0;"che";0
"ilpon";1;22;"96;458";39;0;"Master's Degree";0;1;0;"pon";0
"ilsha";1;12;"96;458";39;0;"Master's Degree";0;1;0;"sha";0
"ilshi";4;7;"96;458";39;0;"Master's Degree";0;1;0;"shi";0
"ilswi";1;9;"96;458";39;0;"Master's Degree";0;1;0;"swi";0
"nfrub";1;26;"96;458";39;0;"Master's Degree";1;0;0;"rub";1
"cfaqu";6;2;"96;466";38;0;"Some College";0;0;1;"aqu";1
"cfbur";5;31;"96;466";38;0;"Some College";0;0;1;"bur";1
"cfrub";6;16;"96;466";38;0;"Some College";0;0;1;"rub";1
"cibox";2;32;"96;466";38;0;"Some College";0;1;1;"box";1
"cibur";6;4;"96;466";38;0;"Some College";0;1;1;"bur";1
"cispe";5;9;"96;466";38;0;"Some College";0;1;1;"spe";1
"fkaqu";6;29;"96;466";38;0;"Some College";1;0;0;"aqu";1
"fkboa";5;12;"96;466";38;0;"Some College";1;0;0;"boa";1
"fkbox";5;23;"96;466";38;0;"Some College";1;0;0;"box";1
"fkbur";5;22;"96;466";38;0;"Some College";1;0;0;"bur";1
"fkcar";4;27;"96;466";38;0;"Some College";1;0;0;"car";1
"fkspe";6;19;"96;466";38;0;"Some College";1;0;0;"spe";1
"fkswi";5;14;"96;466";38;0;"Some College";1;0;0;"swi";1
"flboa";5;3;"96;466";38;0;"Some College";0;0;0;"boa";0
"flcar";6;18;"96;466";38;0;"Some College";0;0;0;"car";0
"flche";6;15;"96;466";38;0;"Some College";0;0;0;"che";0
"flsha";3;30;"96;466";38;0;"Some College";0;0;0;"sha";0
"flswi";5;5;"96;466";38;0;"Some College";0;0;0;"swi";0
"ikbox";5;1;"96;466";38;0;"Some College";1;1;0;"box";1
"ikbur";2;13;"96;466";38;0;"Some College";1;1;0;"bur";1
"ikpon";4;20;"96;466";38;0;"Some College";1;1;0;"pon";1
"ikshi";2;17;"96;466";38;0;"Some College";1;1;0;"shi";1
"ikspe";4;28;"96;466";38;0;"Some College";1;1;0;"spe";1
"ilbox";5;10;"96;466";38;0;"Some College";0;1;0;"box";0
"ilche";6;6;"96;466";38;0;"Some College";0;1;0;"che";0
"ilpon";2;11;"96;466";38;0;"Some College";0;1;0;"pon";0
"ilsha";5;21;"96;466";38;0;"Some College";0;1;0;"sha";0
"ilshi";4;26;"96;466";38;0;"Some College";0;1;0;"shi";0
"ilswi";6;24;"96;466";38;0;"Some College";0;1;0;"swi";0
"nfrub";6;7;"96;466";38;0;"Some College";1;0;0;"rub";1
"cfaqu";7;13;"96;467";46;0;"High School Graduate";0;0;1;"aqu";1
"cfbur";4;1;"96;467";46;0;"High School Graduate";0;0;1;"bur";1
"cfrub";3;26;"96;467";46;0;"High School Graduate";0;0;1;"rub";1
"cibox";2;21;"96;467";46;0;"High School Graduate";0;1;1;"box";1
"cibur";4;10;"96;467";46;0;"High School Graduate";0;1;1;"bur";1
"cispe";2;6;"96;467";46;0;"High School Graduate";0;1;1;"spe";1
"fkaqu";6;4;"96;467";46;0;"High School Graduate";1;0;0;"aqu";1
"fkboa";3;22;"96;467";46;0;"High School Graduate";1;0;0;"boa";1
"fkbox";4;11;"96;467";46;0;"High School Graduate";1;0;0;"box";1
"fkbur";4;19;"96;467";46;0;"High School Graduate";1;0;0;"bur";1
"fkcar";2;3;"96;467";46;0;"High School Graduate";1;0;0;"car";1
"fkspe";2;24;"96;467";46;0;"High School Graduate";1;0;0;"spe";1
"fkswi";4;8;"96;467";46;0;"High School Graduate";1;0;0;"swi";1
"flboa";4;31;"96;467";46;0;"High School Graduate";0;0;0;"boa";0
"flcar";4;12;"96;467";46;0;"High School Graduate";0;0;0;"car";0
"flche";5;29;"96;467";46;0;"High School Graduate";0;0;0;"che";0
"flsha";4;5;"96;467";46;0;"High School Graduate";0;0;0;"sha";0
"flswi";4;27;"96;467";46;0;"High School Graduate";0;0;0;"swi";0
"ikbox";4;30;"96;467";46;0;"High School Graduate";1;1;0;"box";1
"ikbur";4;28;"96;467";46;0;"High School Graduate";1;1;0;"bur";1
"ikpon";3;32;"96;467";46;0;"High School Graduate";1;1;0;"pon";1
"ikshi";7;16;"96;467";46;0;"High School Graduate";1;1;0;"shi";1
"ikspe";2;14;"96;467";46;0;"High School Graduate";1;1;0;"spe";1
"ilbox";4;2;"96;467";46;0;"High School Graduate";0;1;0;"box";0
"ilche";4;20;"96;467";46;0;"High School Graduate";0;1;0;"che";0
"ilpon";4;23;"96;467";46;0;"High School Graduate";0;1;0;"pon";0
"ilsha";5;15;"96;467";46;0;"High School Graduate";0;1;0;"sha";0
"ilshi";7;7;"96;467";46;0;"High School Graduate";0;1;0;"shi";0
"ilswi";4;18;"96;467";46;0;"High School Graduate";0;1;0;"swi";0
"nfrub";4;17;"96;467";46;0;"High School Graduate";1;0;0;"rub";1
"cfaqu";7;2;"96;474";52;1;"Bachelor's Degree";0;0;1;"aqu";1
"cfbur";7;31;"96;474";52;1;"Bachelor's Degree";0;0;1;"bur";1
"cfrub";7;16;"96;474";52;1;"Bachelor's Degree";0;0;1;"rub";1
"cibox";1;32;"96;474";52;1;"Bachelor's Degree";0;1;1;"box";1
"cibur";4;4;"96;474";52;1;"Bachelor's Degree";0;1;1;"bur";1
"cispe";1;9;"96;474";52;1;"Bachelor's Degree";0;1;1;"spe";1
"fkaqu";7;29;"96;474";52;1;"Bachelor's Degree";1;0;0;"aqu";1
"fkboa";7;12;"96;474";52;1;"Bachelor's Degree";1;0;0;"boa";1
"fkbox";7;23;"96;474";52;1;"Bachelor's Degree";1;0;0;"box";1
"fkbur";7;22;"96;474";52;1;"Bachelor's Degree";1;0;0;"bur";1
"fkcar";7;27;"96;474";52;1;"Bachelor's Degree";1;0;0;"car";1
"fkspe";7;19;"96;474";52;1;"Bachelor's Degree";1;0;0;"spe";1
"fkswi";7;14;"96;474";52;1;"Bachelor's Degree";1;0;0;"swi";1
"flboa";7;3;"96;474";52;1;"Bachelor's Degree";0;0;0;"boa";0
"flcar";7;18;"96;474";52;1;"Bachelor's Degree";0;0;0;"car";0
"flche";7;15;"96;474";52;1;"Bachelor's Degree";0;0;0;"che";0
"flsha";7;30;"96;474";52;1;"Bachelor's Degree";0;0;0;"sha";0
"flswi";7;5;"96;474";52;1;"Bachelor's Degree";0;0;0;"swi";0
"ikbox";7;1;"96;474";52;1;"Bachelor's Degree";1;1;0;"box";1
"ikbur";7;13;"96;474";52;1;"Bachelor's Degree";1;1;0;"bur";1
"ikpon";1;20;"96;474";52;1;"Bachelor's Degree";1;1;0;"pon";1
"ikshi";7;17;"96;474";52;1;"Bachelor's Degree";1;1;0;"shi";1
"ikspe";7;28;"96;474";52;1;"Bachelor's Degree";1;1;0;"spe";1
"ilbox";1;10;"96;474";52;1;"Bachelor's Degree";0;1;0;"box";0
"ilche";7;6;"96;474";52;1;"Bachelor's Degree";0;1;0;"che";0
"ilpon";7;11;"96;474";52;1;"Bachelor's Degree";0;1;0;"pon";0
"ilsha";7;21;"96;474";52;1;"Bachelor's Degree";0;1;0;"sha";0
"ilshi";7;26;"96;474";52;1;"Bachelor's Degree";0;1;0;"shi";0
"ilswi";7;24;"96;474";52;1;"Bachelor's Degree";0;1;0;"swi";0
"nfrub";7;7;"96;474";52;1;"Bachelor's Degree";1;0;0;"rub";1
"cfaqu";5;20;"96;480";32;1;"Master's Degree";0;0;1;"aqu";1
"cfbur";4;32;"96;480";32;1;"Master's Degree";0;0;1;"bur";1
"cfrub";3;7;"96;480";32;1;"Master's Degree";0;0;1;"rub";1
"cibox";2;12;"96;480";32;1;"Master's Degree";0;1;1;"box";1
"cibur";3;23;"96;480";32;1;"Master's Degree";0;1;1;"bur";1
"cispe";2;27;"96;480";32;1;"Master's Degree";0;1;1;"spe";1
"fkaqu";4;29;"96;480";32;1;"Master's Degree";1;0;0;"aqu";1
"fkboa";4;11;"96;480";32;1;"Master's Degree";1;0;0;"boa";1
"fkbox";3;22;"96;480";32;1;"Master's Degree";1;0;0;"box";1
"fkbur";5;14;"96;480";32;1;"Master's Degree";1;0;0;"bur";1
"fkcar";3;30;"96;480";32;1;"Master's Degree";1;0;0;"car";1
"fkspe";2;9;"96;480";32;1;"Master's Degree";1;0;0;"spe";1
"fkswi";3;25;"96;480";32;1;"Master's Degree";1;0;0;"swi";1
"flboa";5;2;"96;480";32;1;"Master's Degree";0;0;0;"boa";0
"flcar";6;21;"96;480";32;1;"Master's Degree";0;0;0;"car";0
"flche";2;4;"96;480";32;1;"Master's Degree";0;0;0;"che";0
"flsha";3;28;"96;480";32;1;"Master's Degree";0;0;0;"sha";0
"flswi";4;6;"96;480";32;1;"Master's Degree";0;0;0;"swi";0
"ikbox";5;3;"96;480";32;1;"Master's Degree";1;1;0;"box";1
"ikbur";6;5;"96;480";32;1;"Master's Degree";1;1;0;"bur";1
"ikpon";2;1;"96;480";32;1;"Master's Degree";1;1;0;"pon";1
"ikshi";3;17;"96;480";32;1;"Master's Degree";1;1;0;"shi";1
"ikspe";2;19;"96;480";32;1;"Master's Degree";1;1;0;"spe";1
"ilbox";4;31;"96;480";32;1;"Master's Degree";0;1;0;"box";0
"ilche";5;13;"96;480";32;1;"Master's Degree";0;1;0;"che";0
"ilpon";3;10;"96;480";32;1;"Master's Degree";0;1;0;"pon";0
"ilsha";4;18;"96;480";32;1;"Master's Degree";0;1;0;"sha";0
"ilshi";4;26;"96;480";32;1;"Master's Degree";0;1;0;"shi";0
"ilswi";3;15;"96;480";32;1;"Master's Degree";0;1;0;"swi";0
"nfrub";3;16;"96;480";32;1;"Master's Degree";1;0;0;"rub";1
"cfaqu";5;20;"96;481";49;1;"Bachelor's Degree";0;0;1;"aqu";1
"cfbur";5;32;"96;481";49;1;"Bachelor's Degree";0;0;1;"bur";1
"cfrub";6;7;"96;481";49;1;"Bachelor's Degree";0;0;1;"rub";1
"cibox";5;12;"96;481";49;1;"Bachelor's Degree";0;1;1;"box";1
"cibur";5;23;"96;481";49;1;"Bachelor's Degree";0;1;1;"bur";1
"cispe";5;27;"96;481";49;1;"Bachelor's Degree";0;1;1;"spe";1
"fkaqu";6;29;"96;481";49;1;"Bachelor's Degree";1;0;0;"aqu";1
"fkboa";6;11;"96;481";49;1;"Bachelor's Degree";1;0;0;"boa";1
"fkbox";5;22;"96;481";49;1;"Bachelor's Degree";1;0;0;"box";1
"fkbur";5;14;"96;481";49;1;"Bachelor's Degree";1;0;0;"bur";1
"fkcar";4;30;"96;481";49;1;"Bachelor's Degree";1;0;0;"car";1
"fkspe";6;9;"96;481";49;1;"Bachelor's Degree";1;0;0;"spe";1
"fkswi";5;25;"96;481";49;1;"Bachelor's Degree";1;0;0;"swi";1
"flboa";7;2;"96;481";49;1;"Bachelor's Degree";0;0;0;"boa";0
"flcar";3;21;"96;481";49;1;"Bachelor's Degree";0;0;0;"car";0
"flche";4;4;"96;481";49;1;"Bachelor's Degree";0;0;0;"che";0
"flsha";5;28;"96;481";49;1;"Bachelor's Degree";0;0;0;"sha";0
"flswi";5;6;"96;481";49;1;"Bachelor's Degree";0;0;0;"swi";0
"ikbox";5;3;"96;481";49;1;"Bachelor's Degree";1;1;0;"box";1
"ikbur";5;5;"96;481";49;1;"Bachelor's Degree";1;1;0;"bur";1
"ikpon";2;1;"96;481";49;1;"Bachelor's Degree";1;1;0;"pon";1
"ikshi";6;17;"96;481";49;1;"Bachelor's Degree";1;1;0;"shi";1
"ikspe";5;19;"96;481";49;1;"Bachelor's Degree";1;1;0;"spe";1
"ilbox";3;31;"96;481";49;1;"Bachelor's Degree";0;1;0;"box";0
"ilche";5;13;"96;481";49;1;"Bachelor's Degree";0;1;0;"che";0
"ilpon";5;10;"96;481";49;1;"Bachelor's Degree";0;1;0;"pon";0
"ilsha";3;18;"96;481";49;1;"Bachelor's Degree";0;1;0;"sha";0
"ilshi";5;26;"96;481";49;1;"Bachelor's Degree";0;1;0;"shi";0
"ilswi";5;15;"96;481";49;1;"Bachelor's Degree";0;1;0;"swi";0
"nfrub";5;16;"96;481";49;1;"Bachelor's Degree";1;0;0;"rub";1
"cfaqu";5;13;"96;497";44;0;"Some College";0;0;1;"aqu";1
"cfbur";5;1;"96;497";44;0;"Some College";0;0;1;"bur";1
"cfrub";5;26;"96;497";44;0;"Some College";0;0;1;"rub";1
"cibox";2;21;"96;497";44;0;"Some College";0;1;1;"box";1
"cibur";5;10;"96;497";44;0;"Some College";0;1;1;"bur";1
"cispe";2;6;"96;497";44;0;"Some College";0;1;1;"spe";1
"fkaqu";5;4;"96;497";44;0;"Some College";1;0;0;"aqu";1
"fkboa";4;22;"96;497";44;0;"Some College";1;0;0;"boa";1
"fkbox";5;11;"96;497";44;0;"Some College";1;0;0;"box";1
"fkbur";6;19;"96;497";44;0;"Some College";1;0;0;"bur";1
"fkcar";5;3;"96;497";44;0;"Some College";1;0;0;"car";1
"fkspe";1;24;"96;497";44;0;"Some College";1;0;0;"spe";1
"fkswi";5;8;"96;497";44;0;"Some College";1;0;0;"swi";1
"flboa";7;31;"96;497";44;0;"Some College";0;0;0;"boa";0
"flcar";5;12;"96;497";44;0;"Some College";0;0;0;"car";0
"flche";7;29;"96;497";44;0;"Some College";0;0;0;"che";0
"flsha";5;5;"96;497";44;0;"Some College";0;0;0;"sha";0
"flswi";5;27;"96;497";44;0;"Some College";0;0;0;"swi";0
"ikbox";6;30;"96;497";44;0;"Some College";1;1;0;"box";1
"ikbur";2;28;"96;497";44;0;"Some College";1;1;0;"bur";1
"ikpon";1;32;"96;497";44;0;"Some College";1;1;0;"pon";1
"ikshi";4;16;"96;497";44;0;"Some College";1;1;0;"shi";1
"ikspe";2;14;"96;497";44;0;"Some College";1;1;0;"spe";1
"ilbox";5;2;"96;497";44;0;"Some College";0;1;0;"box";0
"ilche";6;20;"96;497";44;0;"Some College";0;1;0;"che";0
"ilpon";7;23;"96;497";44;0;"Some College";0;1;0;"pon";0
"ilsha";6;15;"96;497";44;0;"Some College";0;1;0;"sha";0
"ilshi";4;7;"96;497";44;0;"Some College";0;1;0;"shi";0
"ilswi";6;18;"96;497";44;0;"Some College";0;1;0;"swi";0
"nfrub";6;17;"96;497";44;0;"Some College";1;0;0;"rub";1
"cfaqu";6;31;"96;498";27;1;"High School Graduate";0;0;1;"aqu";1
"cfbur";6;2;"96;498";27;1;"High School Graduate";0;0;1;"bur";1
"cfrub";3;17;"96;498";27;1;"High School Graduate";0;0;1;"rub";1
"cibox";1;1;"96;498";27;1;"High School Graduate";0;1;1;"box";1
"cibur";5;29;"96;498";27;1;"High School Graduate";0;1;1;"bur";1
"cispe";3;24;"96;498";27;1;"High School Graduate";0;1;1;"spe";1
"fkaqu";6;4;"96;498";27;1;"High School Graduate";1;0;0;"aqu";1
"fkboa";7;21;"96;498";27;1;"High School Graduate";1;0;0;"boa";1
"fkbox";7;10;"96;498";27;1;"High School Graduate";1;0;0;"box";1
"fkbur";7;11;"96;498";27;1;"High School Graduate";1;0;0;"bur";1
"fkcar";7;6;"96;498";27;1;"High School Graduate";1;0;0;"car";1
"fkspe";6;14;"96;498";27;1;"High School Graduate";1;0;0;"spe";1
"fkswi";7;19;"96;498";27;1;"High School Graduate";1;0;0;"swi";1
"flboa";7;30;"96;498";27;1;"High School Graduate";0;0;0;"boa";0
"flcar";7;15;"96;498";27;1;"High School Graduate";0;0;0;"car";0
"flche";7;18;"96;498";27;1;"High School Graduate";0;0;0;"che";0
"flsha";5;3;"96;498";27;1;"High School Graduate";0;0;0;"sha";0
"flswi";7;28;"96;498";27;1;"High School Graduate";0;0;0;"swi";0
"ikbox";6;32;"96;498";27;1;"High School Graduate";1;1;0;"box";1
"ikbur";5;20;"96;498";27;1;"High School Graduate";1;1;0;"bur";1
"ikpon";7;13;"96;498";27;1;"High School Graduate";1;1;0;"pon";1
"ikshi";7;16;"96;498";27;1;"High School Graduate";1;1;0;"shi";1
"ikspe";7;5;"96;498";27;1;"High School Graduate";1;1;0;"spe";1
"ilbox";7;23;"96;498";27;1;"High School Graduate";0;1;0;"box";0
"ilche";7;27;"96;498";27;1;"High School Graduate";0;1;0;"che";0
"ilpon";7;22;"96;498";27;1;"High School Graduate";0;1;0;"pon";0
"ilsha";6;12;"96;498";27;1;"High School Graduate";0;1;0;"sha";0
"ilshi";1;7;"96;498";27;1;"High School Graduate";0;1;0;"shi";0
"ilswi";1;9;"96;498";27;1;"High School Graduate";0;1;0;"swi";0
"nfrub";5;26;"96;498";27;1;"High School Graduate";1;0;0;"rub";1
