"Subject";"age";"height";"Occasion"
"22";-0.1643;152.5;"4"
"22";-0.0027;154.7;"5"
"22";0.2466;156;"6"
"22";0.5562;158.4;"7"
"22";0.7781;161.5;"8"
"22";0.9945;163.3;"9"
"23";-1;144.5;"1"
"23";-0.7479;146;"2"
"23";-0.463;147.4;"3"
"23";-0.1643;149.2;"4"
"23";-0.0027;150.8;"5"
"23";0.2466;152.5;"6"
"23";0.5562;155;"7"
"23";0.7781;156.8;"8"
"23";0.9945;158.8;"9"
"24";-1;147.8;"1"
"24";-0.7479;148.2;"2"
"24";-0.463;150.2;"3"
"24";-0.1643;151;"4"
"24";-0.0027;152.2;"5"
"24";0.2466;153.6;"6"
"24";0.5562;155.8;"7"
"24";0.7781;159.2;"8"
"24";0.9945;161.6;"9"
"25";-1;135.5;"1"
"25";-0.7479;136.6;"2"
"25";-0.463;137.3;"3"
"25";-0.1643;138.2;"4"
"25";-0.0027;139;"5"
"25";0.2466;139.5;"6"
"25";0.5562;141;"7"
"25";0.7808;142.7;"8"
"25";0.9945;143.9;"9"
"26";-1;132.2;"1"
"26";-0.7479;134.3;"2"
"26";-0.463;135.1;"3"
"26";-0.1643;136.7;"4"
"26";-0.0027;138.4;"5"
"26";0.2466;138.9;"6"
"26";0.5562;141.8;"7"
"26";0.7781;142.6;"8"
"26";1.0055;143.1;"9"
