"specimen";"num_amtl";"age_at_death";"age_sd";"prob_male";"genus";"sockets";"pop"
"BRK125679";0;32.7390843;4.31652929;0.75;"Homo sapiens";32;"Native Californian"
"BRK125800";0;28.5301928;3.63455838;0.75;"Homo sapiens";29;"Native Californian"
"BRK125802";3;36.7566627;4.97264041;0.75;"Homo sapiens";26;"Native Californian"
"BRK125810";1;30.5070964;4.16980327;0.75;"Homo sapiens";32;"Native Californian"
"BRK125811";0;34.6522169;4.62847197;0.75;"Homo sapiens";28;"Native Californian"
"BRK125821";0;37.1392892;5.035316;0.75;"Homo sapiens";32;"Native Californian"
"BRK125822";0;30.3157831;4.13857528;0.25;"Homo sapiens";32;"Native Californian"
"BRK125827";0;27.5736265;3.48066219;0.75;"Homo sapiens";32;"Native Californian"
"BRK125832";2;45.6;10.4;0.75;"Homo sapiens";16;"Native Californian"
"BRK126049";0;29.2954458;3.75801123;0.5;"Homo sapiens";31;"Native Californian"
"BRK126054";0;23.6198193;3.05433283;0.25;"Homo sapiens";15;"Native Californian"
"BRK126076";0;35.8000964;4.81608016;0.5;"Homo sapiens";16;"Native Californian"
"BRK126087";0;20.1761807;2.50774612;0.5;"Homo sapiens";32;"Native Californian"
"BRK126089";4;26.6808313;3.54750963;0.75;"Homo sapiens";32;"Native Californian"
"BRK126092";1;37.5219157;5.09801939;0.75;"Homo sapiens";32;"Native Californian"
"BRK126094";0;25.9155783;3.42374303;0.75;"Homo sapiens";32;"Native Californian"
"BRK126100";7;25.0865542;3.08319431;0.25;"Homo sapiens";32;"Native Californian"
"BRK126104";0;23.6198193;3.05433283;0.75;"Homo sapiens";32;"Native Californian"
"BRK126107";5;23.6198193;3.05433283;0.25;"Homo sapiens";32;"Native Californian"
"BRK126113";1;32.9941687;4.35806278;0.75;"Homo sapiens";32;"Native Californian"
"BRK126117";0;26.2982048;3.48559185;0.25;"Homo sapiens";32;"Native Californian"
"BRK126118";1;26.6808313;3.54750963;0.25;"Homo sapiens";32;"Native Californian"
"BRK126121";1;36.5653494;4.94131337;0.25;"Homo sapiens";32;"Native Californian"
"BRK126124";0;22.0893133;2.81004779;0.75;"Homo sapiens";32;"Native Californian"
"BRK126125";5;41.1;10;0.25;"Homo sapiens";15;"Native Californian"
"BRK126243";16;25.5967229;3.16436617;0.75;"Homo sapiens";30;"Native Californian"
"BRK126244";0;26.1068916;3.45465859;0.75;"Homo sapiens";31;"Native Californian"
"BRK126247";0;39.6263614;5.44334199;0.25;"Homo sapiens";32;"Native Californian"
"BRK126248";0;28.5939639;3.85801676;0.25;"Homo sapiens";32;"Native Californian"
"BRK126250";0;26.2982048;3.48559185;0.25;"Homo sapiens";30;"Native Californian"
"BRK126251";0;29.9331566;4.07615043;0.75;"Homo sapiens";32;"Native Californian"
"BRK126252";0;22.4719398;2.87094128;0.25;"Homo sapiens";32;"Native Californian"
"BRK126256";0;32.0376024;4.41997173;0.25;"Homo sapiens";32;"Native Californian"
"BRK126259";0;32.1651446;4.22315152;0.25;"Homo sapiens";31;"Native Californian"
"BRK126260";1;36.3740361;4.90999368;0.25;"Homo sapiens";32;"Native Californian"
"BRK126261";0;32.3564578;4.25426601;0.25;"Homo sapiens";32;"Native Californian"
"BRK126264";0;37.1392892;5.035316;0.25;"Homo sapiens";29;"Native Californian"
"BRK126266";8;36.5653494;4.94131337;0.5;"Homo sapiens";32;"Native Californian"
"BRK126271";10;25.8518072;3.20502776;0.5;"Homo sapiens";31;"Native Californian"
"BRK126291";1;22.0893133;2.81004779;0.5;"Homo sapiens";7;"Native Californian"
"BRK126292";0;36.5653494;4.94131337;0.5;"Homo sapiens";31;"Native Californian"
"BRK126472";0;28.5939639;3.85801676;0.25;"Homo sapiens";32;"Native Californian"
"BRK126755";0;26.1068916;3.45465859;0.75;"Homo sapiens";22;"Native Californian"
"BRK126757";0;31.6549759;4.14023787;0.75;"Homo sapiens";32;"Native Californian"
"BRK126758";0;23.6198193;3.05433283;0.25;"Homo sapiens";32;"Native Californian"
"BRK126760";0;26.2982048;3.48559185;0.75;"Homo sapiens";30;"Native Californian"
"BRK126761";2;35.8000964;4.81608016;0.75;"Homo sapiens";32;"Native Californian"
"BRK126764";0;23.2371928;2.99309106;0.75;"Homo sapiens";32;"Native Californian"
"BRK126765";1;29.7418434;4.04495405;0.5;"Homo sapiens";30;"Native Californian"
"BRK126766";0;26.6808313;3.54750963;0.75;"Homo sapiens";32;"Native Californian"
"BRK126767";0;31.2085783;4.06776118;0.75;"Homo sapiens";32;"Native Californian"
"BRK126768";8;37.3306024;5.06666429;0.25;"Homo sapiens";28;"Native Californian"
"BRK126773";5;39.6263614;5.44334199;0.75;"Homo sapiens";32;"Native Californian"
"BRK126774";8;22.8545663;2.93195822;0.25;"Homo sapiens";32;"Native Californian"
"BRK126776";3;38.8611084;5.31768598;0.5;"Homo sapiens";32;"Native Californian"
"HTB0802";0;14.23;6.474995012;1;"Papio";32;"East Africa"
"HTB0828";0;9.18292308;2.429595478;1;"Papio";32;"South Africa"
"HTB0890";0;17.8945;3.21217946;1;"Papio";32;"East Africa"
"HTB0900";0;15.3185476;2.72587272;1;"Papio";32;"East Africa"
"HTB1025";2;18.6672857;3.35840919;1;"Papio";32;"East Africa"
"HTB1027";0;18.6672857;3.35840919;0;"Papio";32;"East Africa"
"HTB1028";0;13.7729762;2.43523526;0;"Papio";32;"East Africa"
"HTB1043";1;16.0913333;2.87155209;1;"Papio";32;"East Africa"
"HTB1151";0;13.515381;2.38690817;1;"Papio";32;"East Africa"
"HTB1152";0;13.2577857;2.33861853;1;"Papio";32;"East Africa"
"HTB1153";0;13.0001905;2.29036872;1;"Papio";16;"East Africa"
"HTB1154";0;15.0609524;2.67736152;1;"Papio";32;"East Africa"
"HTB1212";1;11.167;4.778975048;1;"Papio";32;"Central Africa"
"HTB1214";0;14.8033571;2.62887685;1;"Papio";32;"East Africa"
"HTB1215";0;12.7010476;2.18171291;1;"Papio";32;"East Africa"
"HTB1216";2;17.6369048;3.16346606;1;"Papio";32;"East Africa"
"HTB1217";1;16.6065238;2.96878123;1;"Papio";31;"East Africa"
"HTB1218";0;13.7729762;2.43523526;1;"Papio";32;"East Africa"
"HTB1219";0;15.7921905;2.76002868;1;"Papio";32;"East Africa"
"HTB1220";0;15.5761429;2.77440906;1;"Papio";32;"East Africa"
"HTB1221";0;17.6369048;3.16346606;1;"Papio";32;"East Africa"
"HTB1222";0;14.8033571;2.62887685;0;"Papio";32;"East Africa"
"HTB1223";0;16.0913333;2.87155209;1;"Papio";32;"East Africa"
"HTB1225";0;16.307381;2.85690736;1;"Papio";32;"East Africa"
"HTB1226";0;14.2881667;2.53199324;1;"Papio";32;"East Africa"
"HTB1426";0;17.204185;3.2920468;0;"Pan";32;"Ebolwa"
"HTB1497";0;11.454619;2.00186723;1;"Papio";31;"East Africa"
"HTB1503";0;11.9698095;2.09782262;0;"Papio";32;"East Africa"
"HTB1701";0;26.2620552;5.35897499;0;"Pan";32;"French Cameroons"
"HTB1703";0;20.5137914;4.0457765;0;"Pan";32;"French Cameroons"
"HTB1706";0;17.3783748;3.33164782;0;"Pan";31;"Ebolwa"
"HTB1707";0;17.3783748;3.33164782;0;"Pan";28;"Ebolwa"
"HTB1708";0;21.5589303;4.28424336;0;"Pan";32;"Ebolwa"
"HTB1713";0;20.5137914;4.0457765;0;"Pan";32;"Ebolwa"
"HTB1718";0;18.075134;3.49014071;0;"Pan";32;"Ebolwa"
"HTB1719";1;24.9556316;5.06022442;0;"Pan";30;"Ebolwa"
"HTB1720";12;11.630111;2.03288089;0;"Pan";32;"Ebolwa"
"HTB1721";0;18.4235137;3.56943631;0;"Pan";32;"Ebolwa"
"HTB1722";0;20.6879812;4.08550898;0;"Pan";32;"Ebolwa"
"HTB1723";0;24.6943469;5.00049123;0;"Pan";32;"Ebolwa"
"HTB1724";0;18.4235137;3.56943631;0;"Pan";32;"Ebolwa"
"HTB1726";5;25.6120692;4.90072026;0;"Pan";32;"Ebolwa"
"HTB1735";0;18.9460831;3.68843519;0;"Pan";32;"Ebolwa"
"HTB1737";0;27.8297635;5.71763847;0;"Pan";28;"Ebolwa"
"HTB1738";0;19.4686525;3.80749511;0;"Pan";32;"Ebolwa"
"HTB1739";0;21.0363609;4.16498874;0;"Pan";32;"Ebolwa"
"HTB1741";0;28.352333;5.83722718;0;"Pan";32;"Ebolwa"
"HTB1744";0;19.991222;3.92661051;0;"Pan";32;"Ebolwa"
"HTB1745";0;18.9460831;3.68843519;0;"Pan";32;"Ebolwa"
"HTB1748";5;33.5780273;7.03383117;0;"Pan";31;"Ebolwa"
"HTB1758";0;19.991222;3.92661051;0;"Pan";32;"Ebolwa"
"HTB1768";0;19.991222;3.92661051;0;"Pan";32;"Ebolwa"
"HTB1775";1;26.1346386;5.01978364;0;"Pan";30;"French Cameroons"
"HTB1791";0;21.5589303;4.28424336;0;"Pan";32;"Ebolwa"
"HTB1882";0;17.3783748;3.33164782;0;"Pan";32;"Ebolwa"
"HTB1888";0;28.352333;5.83722718;0;"Pan";32;"French Cameroons"
"HTB1889";0;29.1361871;6.01663882;0;"Pan";32;"French Cameroons"
"HTB1890";0;20.5137914;4.0457765;0;"Pan";32;"French Cameroons"
"HTB1903";0;22.0814997;4.40353691;0;"Pan";32;"French Cameroons"
"HTB1956";0;29.9200413;6.19608209;0;"Pan";32;"French Cameroons"
"HTB1957";9;23.5217914;4.42495725;0;"Pan";32;"French Cameroons"
"HTB1958";1;32.010319;6.67473274;0;"Pan";32;"French Cameroons"
"HTB1959";0;28.352333;5.83722718;0;"Pan";32;"French Cameroons"
"HTB2001";0;17.9009442;3.45050478;0;"Pan";32;"French Cameroons"
"HTB2026";0;19.991222;3.92661051;0;"Pan";32;"Ebolwa"
"HTB2027";0;18.9460831;3.68843519;0;"Pan";32;"Ebolwa"
"HTB2032";0;17.6396595;3.39106649;0;"Pan";32;"Ebolwa"
"HTB2033";0;18.9460831;3.68843519;0;"Pan";32;"Ebolwa"
"HTB2034";0;19.4686525;3.80749511;0;"Pan";32;"Ebolwa"
"HTB2747";3;43.6407147;9.02231946;0;"Pan";32;"French Cameroons"
"HTB2748";0;17.3783748;3.33164782;0;"Pan";32;"French Cameroons"
"HTB2751";3;32.5328885;6.79442263;0;"Pan";30;"French Cameroons"
"HTB2756";0;19.991222;3.92661051;0;"Pan";32;"French Cameroons"
"HTB2771";0;16.8558054;3.2128737;0;"Pan";32;"French Cameroons"
"HTB2823";0;28.352333;5.83722718;0;"Pan";32;"French Cameroons"
"HTB3398";0;18.4235137;3.56943631;0;"Pan";32;"West Africa"
"HTB3411";0;32.5328885;6.79442263;0;"Pan";16;"West Africa"
"HTB3412";0;15.8106665;2.97561367;0;"Pan";32;"West Africa"
"HTB3413";0;17.3783748;3.33164782;0;"Pan";32;"West Africa"
"HTB3418";0;24.9556316;5.06022442;0;"Pan";32;"West Africa"
"HTB3434";0;15.8106665;2.97561367;0;"Pan";32;"West Africa"
"HTB3436";0;31.4877496;6.55505315;0;"Pan";32;"West Africa"
"HTB3437";0;14.2429582;2.62063975;0;"Pan";32;"West Africa"
"HTB3515";0;14.5622081;2.68358343;0;"Papio";32;"East Africa"
"HTB3537";0;17.9009442;3.45050478;0;"Pan";32;"West Africa"
"HTB3538";0;19.4686525;3.80749511;0;"Pan";32;"West Africa"
"HTB3539";0;17.9009442;3.45050478;0;"Pan";29;"West Africa"
"HTB3551";1;19.991222;3.92661051;0;"Pan";32;"West Africa"
"HTB3552";0;21.0363609;4.16498874;0;"Pan";32;"West Africa"
"IPHA.1";0;17.6784056;2.24541074;0.75;"Homo sapiens";28;"Afalou"
"IPHA.10b";3;26.0065524;3.66420581;0.5;"Homo sapiens";31;"Afalou"
"IPHA.12";3;25.9695385;3.35489121;0.75;"Homo sapiens";32;"Afalou"
"IPHA.13";2;25.6734266;3.6064238;0.75;"Homo sapiens";32;"Afalou"
"IPHA.14";5;22.6752937;3.08917899;0.5;"Homo sapiens";32;"Afalou"
"IPHA.15";2;26.6357902;3.46891175;0.75;"Homo sapiens";13;"Afalou"
"IPHA.2";3;20.0102867;2.63528098;0.75;"Homo sapiens";32;"Afalou"
"IPHA.22";1;17.3452797;2.19049743;0.25;"Homo sapiens";27;"Afalou"
"IPHA.25";4;29.3007972;3.92784897;0.75;"Homo sapiens";24;"Afalou"
"IPHA.28";1;27.3390559;3.89582582;0.75;"Homo sapiens";32;"Afalou"
"IPHA.29";4;18.6777832;2.41143228;0.25;"Homo sapiens";32;"Afalou"
"IPHA.3";1;27.3390559;3.89582582;0.25;"Homo sapiens";16;"Afalou"
"IPHA.30";2;21.6759161;2.91816725;0.5;"Homo sapiens";32;"Afalou"
"IPHA.34";2;21.0096643;2.80466038;0.25;"Homo sapiens";30;"Afalou"
"IPHA.36";18;48.8;10.5;0.75;"Homo sapiens";24;"Afalou"
"IPHA.45";0;18.0115315;2.30054789;0.5;"Homo sapiens";16;"Afalou"
"IPHA.46";4;20.0102867;2.63528098;0.5;"Homo sapiens";25;"Afalou"
"IPHA.47";0;26.6728042;3.77992193;0.75;"Homo sapiens";29;"Afalou"
"IPHA.48";2;18.3446573;2.35589319;0.75;"Homo sapiens";30;"Afalou"
"IPHA.49";2;27.3390559;3.89582582;0.75;"Homo sapiens";32;"Afalou"
"IPHA.5";3;26.0065524;3.66420581;0.75;"Homo sapiens";30;"Afalou"
"IPHA.7";1;26.6728042;3.77992193;0.25;"Homo sapiens";19;"Afalou"
"IPHA.9";5;26.6357902;3.46891175;0.75;"Homo sapiens";15;"Afalou"
"MH10285";0;38.2372609;8.82500633;0.75;"Homo sapiens";32;"Ona"
"MH10289";0;28.0348116;6.06203036;0.75;"Homo sapiens";32;"Fuegian"
"MH10291";0;36.6263478;8.38792417;0.75;"Homo sapiens";32;"Yaghan"
"MH11150";0;17.1850548;2.392161;0.25;"Homo sapiens";16;"Buriat"
"MH12316";2;47.0491348;18.8440476;0.75;"Homo sapiens";32;"Chucki"
"MH12317";4;41.1;10;0.25;"Homo sapiens";31;"Chucki"
"MH12318";0;37.551766;16.4384771;0.25;"Homo sapiens";16;"Chucki"
"MH12319";0;51.7415106;23.8192059;0.5;"Homo sapiens";16;"Chucki"
"MH12320";0;40.7050426;18.0781611;0.75;"Homo sapiens";32;"Chucki"
"MH12321";0;71.2242553;31.4169538;0.75;"Homo sapiens";16;"Chucki"
"MH12322";1;59.6247021;27.9211585;0.75;"Homo sapiens";16;"Chucki"
"MH12323";5;51.9;12.5;0.25;"Homo sapiens";16;"Chucki"
"MH12324";3;39.1284043;17.258272;0.5;"Homo sapiens";31;"Chucki"
"MH12326";6;50.1648723;22.9989102;0.75;"Homo sapiens";16;"Chucki"
"MH12327";0;28.0919362;11.5228136;0.75;"Homo sapiens";16;"Chucki"
"MH12328";0;35.9751277;15.6187914;0.25;"Homo sapiens";15;"Chucki"
"MH1503";1;15.567015;1.80774282;0.25;"Homo sapiens";32;"Tasmanien"
"MH1505";0;25.9830314;3.44508735;0.75;"Homo sapiens";32;"Tasmanien"
"MH1507";8;27.7190342;3.7272427;0.5;"Homo sapiens";32;"Australian aboriginie"
"MH1509";0;19.9070219;2.47259539;0.25;"Homo sapiens";32;"Australian aboriginie"
"MH1511";1;21.6430246;2.74721254;0.75;"Homo sapiens";16;"Australian aboriginie"
"MH1525";3;42.5600492;5.94066321;0.25;"Homo sapiens";31;"Australian aboriginie"
"MH1526";0;39.4;9.1;0.5;"Homo sapiens";15;"Australian aboriginie"
"MH1670";0;24.2408033;7.76244648;0.75;"Homo sapiens";16;"Sami"
"MH1701";0;27.8851639;9.29798279;0.5;"Homo sapiens";32;"Sami"
"MH1702";11;46.1069672;16.9965704;0.25;"Homo sapiens";32;"Sami"
"MH17264";2;27.804026;3.52464829;0.25;"Homo sapiens";31;"Australian aboriginie"
"MH1860";2;38.6447049;11.8783346;0.25;"Homo sapiens";16;"Sami"
"MH1861";3;22.418623;6.99594743;0.5;"Homo sapiens";16;"Sami"
