isocode;isonum;country;rugged;rugged_popw;rugged_slope;rugged_lsd;rugged_pc;land_area;lat;lon;soil;desert;tropical;dist_coast;near_coast;gemstones;rgdppc_2000;rgdppc_1950_m;rgdppc_1975_m;rgdppc_2000_m;rgdppc_1950_2000_m;q_rule_law;cont_africa;cont_asia;cont_europe;cont_oceania;cont_north_america;cont_south_america;legor_gbr;legor_fra;legor_soc;legor_deu;legor_sca;colony_esp;colony_gbr;colony_fra;colony_prt;colony_oeu;africa_region_n;africa_region_s;africa_region_w;africa_region_e;africa_region_c;slave_exports;dist_slavemkt_atlantic;dist_slavemkt_indian;dist_slavemkt_saharan;dist_slavemkt_redsea;pop_1400;european_descent
"BGD";50;"Bangladesh";0.186;0.065;0.502;0.053;1.817;13017;23.848;90.270;41.883;0.000;75.038;0.071;71.3844;0;1479.086;539.544;528.607;861.700;599.122;-0.807;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.000;;;;;9103705;0.000
"BGR";100;"Bulgaria";1.479;0.711;4.498;0.427;20.196;11063;42.765;25.239;82.101;0.000;0.000;0.149;31.4395;0;5979.171;1651.031;5830.809;5349.921;4567.501;-0.160;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;894427;98.850
"BHR";48;"Bahrain";0.231;0.163;0.627;0.063;0.000;71;26.025;50.565;0.000;0.000;0.000;0.002;100;0;15928.090;2104.454;3922.257;5058.844;3776.897;0.457;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.000;;;;;31897;0.000
"BHS";44;"Bahamas";0.055;0.100;0.144;0.017;0.000;1001;24.255;-76.610;13.924;0.000;100.000;0.003;100;0;16977.200;;;;;1.063;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.000;;;;;1276;
"BIH";70;"Bosnia and Herzegovina";2.311;1.288;7.075;0.665;40.253;5120;44.175;17.784;76.888;0.000;0.000;0.117;42.7623;0;5294.975;;;5572.282;;-0.440;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;366341;100.000
"BLR";112;"Belarus";0.164;0.208;0.540;0.046;0.000;20748;53.542;28.054;50.611;0.000;0.000;0.598;0;0;4802.110;;;6264.544;;-0.900;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;487364;100.000
"BLZ";84;"Belize";0.607;0.226;1.616;0.174;6.568;2281;17.205;-88.687;35.490;0.000;100.000;0.026;100;0;5869.233;;;;;0.257;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.000;;;;;5326;39.910
"BMU";60;"Bermuda";0.015;0.014;0.030;0.006;0.000;5;32.310;-64.772;20.000;0.000;0.000;0.000;100;0;;;;;;1.255;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;601;
"BOL";68;"Bolivia";0.853;0.911;2.343;0.258;13.570;108438;-16.710;-64.662;31.807;0.000;64.878;0.655;0;0;2398.855;1919.359;2515.915;2574.755;2153.277;-0.327;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0.000;;;;;829897;26.732
"BRA";76;"Brazil";0.240;0.250;0.654;0.076;0.558;845942;-10.775;-53.085;18.783;0.000;88.567;0.642;9.68309;12159;7300.865;1671.723;4189.509;5556.415;3761.573;-0.257;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.000;;;;;931150;74.430
"BRB";52;"Barbados";0.963;0.695;2.581;0.289;3.823;43;13.167;-59.555;30.588;0.000;100.000;0.002;100;0;15290.579;;;;;0.760;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.000;;;;;3403;
"BRN";96;"Brunei Darussalam";0.520;0.134;1.366;0.162;5.089;527;4.521;114.748;62.290;0.000;100.000;0.023;100;0;;;;;;0.590;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.000;;;;;2328;
"BTN";64;"Bhutan";6.740;4.913;19.325;1.962;96.475;4700;27.417;90.435;66.365;0.000;0.000;0.389;0;0;;;;;;-0.277;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.000;;;;;36082;0.000
"BWA";72;"Botswana";0.181;0.478;0.488;0.048;0.301;56673;-22.189;23.814;15.249;1.455;0.000;0.764;0;208687;7702.508;348.507;1223.490;4268.641;1631.317;0.580;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0.000;5.686;5.765;5.857;4.300;80312;1.500
"CAF";140;"Central African Republic";0.197;0.257;0.528;0.060;0.033;62300;6.574;20.487;10.967;0.000;97.382;1.081;0;10802;1148.051;771.577;781.799;575.543;757.838;-1.070;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;2009.941;5.642;8.772;2.840;2.293;387580;0.600
"CAN";124;"Canada";0.775;0.370;2.695;0.230;9.122;909351;61.495;-98.334;16.794;0.000;0.000;1.430;4.4433;5166;27289.260;7291.480;14316.263;22360.119;14002.496;1.757;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.000;;;;;174110;85.330
"CCK";166;"Cocos (Keeling) Islands";0.015;0.018;0.031;0.005;0.000;1;-12.122;96.867;;0.000;100.000;0.000;100;0;;;;;;;0;0;0;1;0;0;;;;;;0;0;0;0;0;0;0;0;0;0;0.000;;;;;;
"CHE";756;"Switzerland";4.761;1.450;14.999;1.388;66.060;4000;46.806;8.226;39.341;0.000;0.000;0.278;0;0;30161.290;9063.698;17224.018;22474.859;16696.838;2.023;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;600000;98.500
"CHL";152;"Chile";2.481;0.677;7.365;0.731;38.199;74880;-37.937;-71.384;22.158;15.489;0.000;0.074;68.3825;0;9115.475;3669.742;4273.292;10310.834;5636.808;1.183;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0.000;;;;;553265;59.190
"CHN";156;"China";1.878;0.708;5.493;0.537;28.648;932748;36.564;103.836;22.836;5.770;0.301;0.987;5.76513;4410;3928.315;448.022;871.181;3420.866;1268.328;-0.357;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;80943756;0.000
"CIV";384;"Cote d'Ivoire";0.224;0.159;0.594;0.069;0.493;31800;7.623;-5.554;26.151;0.000;100.000;0.284;16.359;3239;1575.628;1040.878;1800.013;1352.019;1536.270;-0.860;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;52645.949;4.186;9.457;3.353;4.794;435857;0.000
"CMR";120;"Cameroon";0.515;0.545;1.374;0.157;4.031;46540;5.697;12.743;27.829;0.000;94.120;0.389;10.9018;0;1882.687;670.951;1051.615;1082.339;1036.539;-1.287;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;66718.812;5.642;8.772;3.003;3.051;1317285;0.000
"COD";180;"Democratic Republic of the Congo";0.443;0.531;1.177;0.126;2.763;226705;-2.879;23.658;16.001;0.000;94.866;1.016;.686405;87149;668.663;569.742;760.789;216.950;611.093;-2.050;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;7.67e+05;5.712;7.643;3.748;2.687;3593277;0.460
"COG";178;"Congo";0.152;0.411;0.406;0.049;0.243;34150;-0.831;15.246;4.063;0.000;100.000;0.457;4.83001;0;957.403;1198.207;2191.133;2005.219;1914.573;-1.413;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;94662.922;5.527;7.924;3.697;3.227;238219;0.000
"COK";184;"Cook Islands";0.960;0.594;2.641;0.300;14.999;24;-19.213;-158.978;25.000;0.000;100.000;0.000;100;0;;;;;;0.860;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;;
"COL";170;"Colombia";0.885;0.890;2.376;0.277;14.366;110950;3.838;-72.866;30.444;0.000;89.763;0.379;16.7275;0;6243.656;2152.841;3622.226;5095.796;3661.919;-0.767;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0.000;;;;;902880;45.600
"COM";174;"Comoros";3.328;2.172;9.049;1.063;64.479;186.1;-11.888;43.671;56.043;0.000;100.000;0.003;100;0;1770.218;560.305;804.062;580.913;730.933;-1.280;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0.000;10.131;1.754;4.846;2.610;0;0.000
"CPV";132;"Cape Verde";2.367;1.399;6.502;0.759;40.048;403;15.942;-23.981;11.663;0.000;0.000;0.004;100;0;4859.108;449.648;524.742;1776.535;809.993;0.710;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0.000;3.647;11.600;3.482;6.465;0;41.400
"CRI";188;"Costa Rica";2.112;1.044;5.708;0.623;36.610;5106;9.969;-84.199;52.082;0.000;94.017;0.031;100;0;8621.291;1963.132;4396.007;6173.734;3955.164;0.637;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0.000;;;;;74647;60.390
"CUB";192;"Cuba";0.528;0.293;1.448;0.153;6.129;10982;21.626;-79.018;45.947;0.000;100.000;0.020;100;0;;2046.226;2404.287;2415.604;2334.104;-0.877;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0.000;;;;;95479;63.000
"CXR";162;"Christmas Island";1.321;1.422;3.477;0.403;14.025;13.5;-10.488;105.643;;0.000;100.000;0.000;100;0;;;;;;;0;1;0;0;0;0;;;;;;0;0;0;0;0;0;0;0;0;0;0.000;;;;;;
"CYM";136;"Cayman Islands";0.096;0.085;0.237;0.028;0.000;26;19.414;-80.926;100.000;0.000;100.000;0.001;100;0;;;;;;1.515;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;;
"CYP";196;"Cyprus";2.718;0.909;7.867;0.706;44.072;924;35.049;33.235;26.866;0.000;0.000;0.012;100;0;20318.000;;;;;0.817;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.000;;;;;150000;1.000
"CZE";203;"Czech Republic";0.884;0.578;2.845;0.252;4.154;7727;49.739;15.334;88.653;0.000;0.000;0.426;0;0;15373.230;;;9155.582;;0.793;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;1801067;100.000
"DEU";276;"Germany";0.597;0.405;1.906;0.168;3.001;34877;51.110;10.392;61.338;0.000;0.000;0.246;19.7358;0;25481.430;3880.887;12040.607;18943.516;11932.706;1.710;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;6500000;97.600
"DJI";262;"Djibouti";2.432;0.804;6.416;0.627;39.024;2318;11.735;42.580;0.000;0.000;0.000;0.038;100;0;1881.967;1499.582;2065.445;1102.543;1647.355;-0.577;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;4.176;14.408;2.682;2.351;0.064;34822;
"DMA";212;"Dominica";0.003;0.008;0.005;0.001;0.000;75;15.427;-61.356;36.405;0.000;100.000;0.003;100;0;5931.715;;;;;0.495;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.000;;;;;824;
"DNK";208;"Denmark";0.189;0.191;0.611;0.054;0.000;4243;55.987;10.027;56.165;0.000;0.000;0.019;100;0;28750.610;6943.104;13621.125;22975.162;13991.603;1.837;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.000;;;;;600000;99.200
"DOM";214;"Dominican Republic";1.641;0.519;4.495;0.484;26.179;4838;18.895;-70.493;39.479;0.000;87.817;0.029;100;0;6410.803;1026.788;2111.321;3649.014;1989.486;-0.520;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0.000;;;;;39145;52.000
"DZA";12;"Algeria";0.510;1.368;1.445;0.140;4.885;238174;28.168;2.647;9.590;23.277;0.000;0.752;4.17952;0;5417.910;1364.740;2521.953;2864.551;2389.185;-1.153;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;61834.148;6.559;14.912;0.985;3.654;1588836;0.000
"ECU";218;"Ecuador";1.278;0.766;3.446;0.405;20.090;27684;-1.434;-78.770;44.308;0.000;73.165;0.157;37.3544;0;3373.415;1862.933;3459.407;3203.386;3209.836;-0.587;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0.000;;;;;553265;31.976
"EGY";818;"Egypt";0.723;0.274;2.001;0.186;5.764;99545;26.562;29.782;0.007;16.498;0.000;0.325;22.7899;0;3598.329;909.903;1420.783;2936.674;1711.680;-0.030;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1491.701;16.393;4.667;0.430;1.113;4182558;0.000
"ERI";232;"Eritrea";2.481;1.911;6.663;0.658;37.141;10100;15.365;38.848;20.146;1.764;0.000;0.104;56.1576;0;911.884;;;;;-0.307;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1.33e+05;12.967;3.146;1.814;0.070;101512;1.900
"ESH";732;"Western Sahara";0.203;0.301;0.565;0.057;0.202;26600;24.674;-13.138;0.000;9.019;0.000;0.148;33.6288;0;;;;;;;1;0;0;0;0;0;;;;;;0;0;0;0;0;1;0;0;0;0;0.000;4.932;12.435;2.049;5.215;2439;
"ESP";724;"Spain";1.689;0.810;5.062;0.472;23.372;49900;40.231;-3.644;64.134;0.000;0.000;0.131;42.9055;0;21764.830;2188.970;8346.302;15621.720;7811.794;1.333;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;5500000;99.240
"EST";233;"Estonia";0.123;0.188;0.414;0.035;0.000;4239;58.673;25.549;62.517;0.000;0.000;0.135;37.0373;0;9762.760;;;11710.010;;0.527;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;69282;100.000
"ETH";231;"Ethiopia";1.570;1.725;4.193;0.443;20.128;100000;8.622;39.636;46.128;1.008;29.455;0.466;2.26331;0;635.794;;;;;-0.823;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1.31e+06;12.589;2.706;2.543;0.510;1639589;0.000
"FIN";246;"Finland";0.328;0.268;1.202;0.092;0.137;30459;64.481;26.240;2.097;0.000;0.000;0.324;8.79128;0;25553.880;4253.287;11441.303;19770.363;11059.542;1.897;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.000;;;;;100000;100.000
"FJI";242;"Fiji";1.396;0.582;3.723;0.421;14.011;1827;-17.447;161.988;98.293;0.000;100.000;0.009;100;0;4949.898;;;;;-0.093;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.000;;;;;139322;2.200
"FLK";238;"Falkland Islands (Malvinas)";0.264;0.214;0.859;0.083;0.786;1217;-51.745;-59.382;0.000;0.000;0.000;0.005;100;0;;;;;;;0;0;0;0;0;1;;;;;;0;0;0;0;0;0;0;0;0;0;0.000;;;;;;
"FRA";250;"France";1.098;0.496;3.406;0.313;12.070;55010;46.560;2.551;59.939;0.000;0.000;0.172;34.6184;0;25698.010;5271.312;13251.077;21025.375;12907.095;1.397;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;11000000;93.400
"FRO";234;"Faeroe Islands";2.253;1.309;8.215;0.665;39.927;140;62.073;-6.885;0.000;0.000;0.000;0.001;100;0;;;;;;;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;10000;
"FSM";583;"Micronesia; Federated States of";1.353;0.919;3.610;0.423;17.095;70;6.674;157.754;32.857;0.000;100.000;0.000;100;0;;;;;;-0.365;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;15427;
"GAB";266;"Gabon";0.218;0.582;0.583;0.070;0.434;25767;-0.623;11.784;11.978;0.000;100.000;0.195;28.1246;5200;6118.662;3108.377;9405.868;3847.075;5359.929;-0.553;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;27402.172;5.531;8.367;3.703;3.529;138320;1.000
"GBR";826;"United Kingdom of Great Britain and Northern Ireland";0.568;0.210;1.878;0.175;3.643;24269;54.150;-2.901;48.239;0.000;0.000;0.034;96.3607;0;26332.050;6939.374;11847.087;20352.869;12332.872;1.783;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;3306643;94.600
"GEO";268;"Georgia";3.659;0.859;11.258;1.067;59.170;6949;42.179;43.513;34.021;0.000;0.000;0.181;33.1835;0;1880.450;;;3243.627;;-1.033;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;275547;3.000
"GHA";288;"Ghana";0.228;0.250;0.601;0.071;0.371;22754;7.963;-1.208;65.738;0.000;100.000;0.283;19.3048;13275;1892.808;1121.794;1246.881;1269.883;1217.556;-0.297;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1.61e+06;4.773;9.300;3.174;4.332;912300;0.000
"GIB";292;"Gibraltar";7.811;5.542;21.453;1.728;100.000;1;36.139;-5.348;0.000;0.000;0.000;0.000;100;0;;;;;;;0;0;1;0;0;0;;;;;;0;0;0;0;0;0;0;0;0;0;0.000;;;;;;
"GIN";324;"Guinea";0.740;1.030;1.969;0.213;3.952;24572;10.435;-10.939;17.761;0.000;100.000;0.263;14.9423;4864;1975.794;303.321;512.136;571.719;469.724;-1.320;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;3.50e+05;3.720;10.269;3.245;5.259;455699;0.000
"GLP";312;"Guadeloupe";1.188;0.533;3.230;0.359;21.296;169;16.280;-61.601;76.500;0.000;100.000;0.003;100;0;;;;;;;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;3387;
"GMB";270;"Gambia";0.353;0.384;0.915;0.091;0.000;1000;13.447;-15.388;81.699;0.000;89.355;0.053;77.3706;0;1728.198;607.365;1049.606;894.813;866.362;0.100;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;21730.895;3.889;10.793;3.172;5.638;51104;0.500
"GNB";624;"Guinea-Bissau";0.491;0.534;1.302;0.123;0.098;2812;12.013;-14.987;43.253;0.000;100.000;0.045;87.3195;0;782.477;289.153;925.067;680.606;707.146;-1.650;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1.81e+05;3.796;10.631;3.285;5.633;87833;3.000
"GNQ";226;"Equatorial Guinea";0.559;1.405;1.449;0.177;5.540;2805;1.703;10.335;6.829;0.000;100.000;0.069;69.3531;0;15189.540;539.763;1294.001;7973.103;1623.250;-1.263;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;10.500;5.577;8.556;3.462;3.515;66516;5.750
"GRC";300;"Greece";3.103;1.295;9.166;0.867;52.841;12890;39.043;22.989;48.588;0.000;0.000;0.029;96.2131;0;17391.740;1915.007;7721.514;12110.869;6959.675;0.810;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;1118034;100.000
"GRD";308;"Grenada";2.088;1.538;5.655;0.606;39.913;34;12.157;-61.654;67.646;0.000;100.000;0.001;100;0;7536.395;;;;;0.270;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.000;;;;;1237;
"GRL";304;"Greenland";0.410;0.914;1.548;0.131;4.252;217500;74.728;-41.345;0.000;0.000;0.000;0.867;3.50187;0;;;;;;;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;10000;
"GTM";320;"Guatemala";1.807;1.369;4.893;0.538;30.850;10843;15.697;-90.356;58.058;0.000;78.376;0.099;48.2159;0;3974.407;2084.894;3683.875;4096.941;3228.048;-0.897;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0.000;;;;;243109;21.965
"GUF";254;"French Guiana";0.205;0.254;0.546;0.065;0.109;8815;3.930;-53.233;18.394;0.000;100.000;0.125;43.0358;0;;;;;;0.990;0;0;0;0;0;1;;;;;;0;0;0;0;0;0;0;0;0;0;0.000;;;;;;
"GUM";316;"Guam";0.666;0.293;1.825;0.215;1.498;54;13.440;144.776;22.222;0.000;100.000;0.000;100;0;;;;;;;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;;
"GUY";328;"Guyana";0.273;0.052;0.744;0.089;0.360;19685;4.794;-58.976;19.594;0.000;100.000;0.215;28.642;1023;4072.166;;;;;-0.230;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.000;;;;;;1.300
"HKG";344;"Hong Kong Special Administrative Region of China";2.501;1.558;6.692;0.698;51.197;110;22.381;114.134;96.076;0.000;0.000;0.002;100;0;25795.830;2218.149;6990.537;23328.385;9882.841;1.037;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.000;;;;;42611;0.000
