"year";"doy";"temp";"temp_upper";"temp_lower"
1063;NA;5.75;7.44;4.06
1064;NA;5.77;7.41;4.12
1065;NA;5.87;7.43;4.32
1066;105;6.04;7.69;4.39
1067;NA;5.93;7.95;3.91
1068;NA;6.02;7.89;4.15
1069;NA;6.07;7.72;4.43
1070;NA;6.15;7.74;4.56
1071;113;6.23;7.79;4.68
1072;NA;6.45;7.72;5.19
1073;103;6.49;7.72;5.26
1074;NA;6.37;7.69;5.04
1075;NA;6.31;7.63;4.98
1076;NA;6.28;7.55;5.01
1077;NA;6.26;7.41;5.11
1078;NA;6.24;7.35;5.12
1079;NA;6.21;7.31;5.11
1080;102;6.19;7.29;5.09
1081;NA;6.02;7.23;4.8
1082;NA;6.03;7.13;4.93
1083;96;5.99;7.09;4.9
1084;120;5.9;6.91;4.89
1085;NA;6.25;7.19;5.31
1086;NA;6.2;7.13;5.27
1087;NA;6.12;7.05;5.18
1088;104;6.16;6.98;5.35
1089;NA;6.16;7.04;5.27
1090;105;6.16;6.97;5.36
1091;NA;6.18;7.07;5.29
1092;NA;6.13;7.03;5.24
1093;105;5.99;6.96;5.02
1094;NA;6.17;7.08;5.26
1095;100;6.06;7;5.12
1096;96;5.97;6.87;5.06
1097;NA;5.77;6.52;5.03
1098;100;5.7;6.45;4.96
1099;103;5.59;6.27;4.91
1100;NA;5.54;6.23;4.85
1101;NA;5.58;6.24;4.92
1102;104;5.6;6.24;4.95
1103;NA;5.54;6.25;4.83
1104;108;5.56;6.22;4.9
1105;114;5.58;6.28;4.88
1106;NA;5.74;6.39;5.09
1107;105;5.74;6.38;5.09
1108;NA;5.72;6.41;5.03
1109;NA;5.61;6.32;4.89
1110;NA;5.66;6.32;5
1111;113;5.58;6.24;4.92
1112;104;5.67;6.41;4.93
1113;NA;5.61;6.37;4.85
1114;100;5.56;6.32;4.79
1115;NA;5.48;6.13;4.83
1116;NA;5.45;6.1;4.8
1117;109;5.42;6.09;4.75
1118;102;5.42;6.17;4.67
1119;NA;5.35;6.08;4.62
1120;104;5.32;6.08;4.55
1121;NA;5.28;5.98;4.57
1122;NA;5.25;5.99;4.52
1123;112;5.23;6;4.46
1124;98;5.67;6.49;4.85
1125;111;5.61;6.48;4.74
1126;108;6.11;7.49;4.73
1127;107;6.18;7.67;4.69
1128;111;6.25;7.89;4.61
1129;106;6.26;7.69;4.82
1130;103;6.3;7.89;4.71
1131;103;5.97;7.45;4.49
1132;NA;5.87;7.64;4.1
1133;NA;5.73;7.19;4.27
1134;106;5.84;7.26;4.42
1135;NA;5.77;7.21;4.32
1136;NA;5.93;7.47;4.4
1137;NA;5.87;7.21;4.53
1138;NA;5.92;7.24;4.61
1139;113;5.83;7.02;4.65
1140;103;5.89;7.05;4.72
1141;111;5.82;7.08;4.56
1142;NA;6.04;7.34;4.74
1143;110;5.92;7.27;4.57
1144;NA;6.14;7.76;4.52
1145;107;6.02;7.59;4.45
1146;NA;6.27;8.2;4.34
1147;NA;6.11;7.93;4.29
1148;NA;5.95;7.68;4.22
1149;NA;5.88;7.36;4.4
1150;NA;5.88;7.15;4.61
1151;109;5.8;7.04;4.56
1152;NA;5.95;7.23;4.66
1153;NA;5.95;7.1;4.81
1154;96;5.82;7;4.65
1155;NA;5.59;6.73;4.45
1156;90;5.52;6.64;4.39
1157;NA;5.29;6.14;4.43
1158;NA;5.29;6.09;4.48
1159;103;5.28;6.08;4.48
1160;NA;5.17;5.97;4.37
1161;112;5.19;5.95;4.43
1162;NA;5.24;6.03;4.44
1163;112;5.23;6.03;4.42
1164;100;5.1;6.01;4.19
1165;106;5;5.89;4.11
1166;95;4.96;5.9;4.02
1167;111;4.83;5.69;3.98
1168;NA;4.85;5.77;3.94
1169;112;4.86;5.71;4
1170;113;4.98;5.84;4.13
1171;NA;5.26;6.24;4.28
1172;103;5.28;6.22;4.35
1173;117;5.24;6.22;4.27
1174;112;5.3;6.15;4.46
1175;113;5.39;6.21;4.56
1176;113;5.48;6.31;4.64
1177;NA;5.61;6.42;4.8
1178;NA;5.61;6.42;4.8
1179;103;5.61;6.43;4.8
1180;98;5.48;6.3;4.66
1181;NA;5.36;6.19;4.52
1182;104;5.52;6.42;4.61
1183;101;5.44;6.36;4.53
1184;115;5.38;6.43;4.33
1185;115;5.46;6.36;4.56
1186;NA;5.65;6.49;4.81
1187;104;5.7;6.53;4.87
1188;107;5.66;6.59;4.73
1189;NA;5.7;6.71;4.68
1190;112;5.69;6.58;4.79
1191;106;5.84;6.74;4.93
1192;NA;5.83;6.82;4.85
1193;NA;5.76;6.63;4.88
1194;119;5.79;6.65;4.93
1195;NA;6.01;6.72;5.3
1196;NA;6;6.67;5.32
1197;NA;5.92;6.6;5.24
1198;NA;5.89;6.57;5.21
1199;109;6.01;6.67;5.35
1200;104;6.1;6.76;5.45
1201;96;6.15;6.81;5.48
1202;106;6.18;7.01;5.36
1203;105;6.18;6.98;5.37
1204;110;6.2;7.05;5.34
1205;105;6.2;6.98;5.42
1206;NA;6.38;7.45;5.32
1207;104;6.45;7.5;5.4
1208;NA;6.47;7.6;5.35
1209;NA;6.55;7.68;5.43
1210;112;6.51;7.53;5.49
1211;NA;6.63;7.62;5.63
1212;98;6.67;7.69;5.65
1213;107;6.66;7.8;5.53
1214;102;6.55;7.58;5.51
1215;108;6.42;7.44;5.41
1216;101;6.56;7.58;5.54
1217;NA;6.47;7.49;5.46
1218;NA;6.49;7.51;5.47
1219;101;6.41;7.38;5.45
1220;109;6.19;7.23;5.15
1221;99;6.33;7.36;5.29
1222;NA;6.25;7.32;5.18
1223;116;6.24;7.32;5.16
1224;NA;6.3;7.43;5.18
1225;105;6.25;7.38;5.11
1226;106;6.23;7.47;4.99
1227;111;6.51;7.7;5.32
1228;NA;6.6;7.92;5.27
1229;97;6.74;7.92;5.56
1230;102;6.66;7.88;5.44
1231;101;6.64;7.96;5.32
1232;92;6.76;8.05;5.47
1233;105;6.27;7.64;4.91
1234;NA;6.33;7.7;4.95
1235;110;6.41;7.69;5.12
1236;87;6.55;7.92;5.17
1237;NA;6.09;7.31;4.87
1238;NA;6.12;7.26;4.99
1239;NA;6.19;7.28;5.1
1240;106;6.24;7.32;5.16
1241;NA;6.29;7.4;5.18
1242;NA;6.35;7.44;5.25
1243;NA;6.4;7.5;5.3
1244;108;6.46;7.57;5.34
1245;108;6.4;7.44;5.37
1246;98;6.47;7.54;5.39
1247;106;6.4;7.59;5.22
1248;NA;6.23;7.39;5.06
1249;108;6.29;7.38;5.19
1250;116;6.38;7.46;5.3
1251;100;6.61;7.71;5.51
1252;NA;6.56;7.72;5.39
1253;NA;6.55;7.62;5.49
1254;110;6.57;7.56;5.59
1255;NA;6.71;7.75;5.66
1256;NA;6.57;7.67;5.47
1257;94;6.46;7.57;5.35
1258;NA;6.27;7.25;5.29
1259;96;6.21;7.15;5.28
1260;NA;6.06;6.93;5.2
1261;NA;6.02;6.88;5.16
1262;97;5.98;6.8;5.16
1263;120;5.86;6.63;5.08
1264;103;6.15;6.88;5.42
1265;98;6.19;6.87;5.51
1266;NA;6.07;6.7;5.45
1267;105;6.05;6.67;5.42
1268;103;6.04;6.72;5.37
1269;100;6.01;6.72;5.3
1270;NA;5.93;6.62;5.23
1271;100;6.14;6.97;5.32
1272;NA;6.15;7.29;5.02
1273;NA;6.26;7.4;5.12
1274;NA;6.36;7.52;5.2
1275;107;6.47;7.67;5.27
1276;NA;6.56;7.86;5.27
1277;NA;6.46;7.55;5.37
1278;113;6.54;7.67;5.4
1279;101;6.65;7.67;5.62
1280;102;6.69;7.9;5.47
1281;NA;6.88;8.45;5.3
1282;NA;6.86;8.27;5.45
1283;103;6.96;8.41;5.51
1284;102;6.87;8.29;5.46
1285;105;6.56;7.8;5.31
1286;112;6.52;7.72;5.31
1287;110;6.65;7.67;5.63
1288;108;6.8;7.75;5.86
1289;107;6.72;7.83;5.61
1290;NA;6.89;8.19;5.59
1291;NA;6.88;8.04;5.72
1292;107;6.81;7.92;5.71
1293;NA;6.83;8.71;4.96
1294;101;6.82;8.43;5.21
1295;102;6.87;8.66;5.07
1296;NA;7.06;9.14;4.98
1297;NA;6.9;8.87;4.93
1298;NA;6.74;8.62;4.86
1299;NA;6.58;8.42;4.73
1300;NA;6.46;8.16;4.76
1301;95;6.31;7.98;4.65
1302;96;6.11;7.77;4.45
1303;NA;5.93;7.52;4.34
1304;NA;5.79;7.32;4.25
1305;NA;5.64;7.15;4.13
1306;NA;5.5;7.01;3.99
1307;104;5.35;6.89;3.82
1308;NA;5.24;6.93;3.55
1309;NA;5.07;6.84;3.31
1310;NA;4.9;6.77;3.04
1311;94;4.73;6.73;2.74
1312;100;4.88;6.3;3.45
1313;NA;4.77;6.18;3.36
1314;101;5.1;6.26;3.94
1315;111;5.03;6.22;3.84
1316;103;5.11;6.23;3.98
1317;102;5.03;6.09;3.96
1318;NA;4.93;6.08;3.79
1319;116;4.85;5.88;3.82
1320;NA;5.12;6.16;4.08
1321;102;4.99;5.98;4.01
1322;106;4.88;5.91;3.84
1323;124;4.82;5.96;3.68
1324;98;5.09;6.06;4.12
1325;NA;4.87;5.77;3.96
1326;107;4.69;5.56;3.83
1327;NA;4.67;5.56;3.79
1328;NA;4.67;5.47;3.86
1329;112;4.74;5.53;3.95
1330;108;4.89;5.82;3.97
1331;112;4.82;5.82;3.82
1332;115;4.87;5.94;3.79
1333;NA;5.16;6.2;4.12
1334;NA;5.17;6.09;4.24
1335;NA;5.16;6.03;4.3
1336;NA;5.15;5.96;4.34
1337;NA;5.2;6.08;4.32
1338;NA;5.36;6.64;4.09
1339;NA;5.52;6.9;4.14
1340;NA;5.56;6.79;4.32
1341;NA;5.64;6.85;4.44
1342;110;5.72;6.88;4.57
1343;NA;5.71;6.8;4.63
1344;102;5.78;6.85;4.71
1345;NA;5.71;6.86;4.57
1346;107;5.82;6.97;4.68
1347;109;5.81;6.95;4.68
1348;NA;5.85;6.96;4.73
1349;112;5.91;6.97;4.85
1350;101;6.02;7.03;5
1351;115;5.89;6.93;4.84
1352;NA;6.04;6.96;5.12
1353;NA;6.09;6.97;5.22
1354;NA;6.18;7.05;5.31
1355;NA;6.26;7.12;5.4
1356;117;6.28;7.09;5.48
1357;107;6.46;7.16;5.76
1358;110;6.54;7.24;5.84
1359;105;6.63;7.31;5.95
1360;101;6.67;7.37;5.97
1361;108;6.66;7.41;5.92
1362;NA;6.73;7.48;5.98
1363;107;6.76;7.53;5.99
1364;110;6.8;7.6;6.01
1365;NA;6.84;7.66;6.03
1366;112;6.83;7.69;5.97
1367;97;6.8;7.73;5.86
1368;88;6.71;7.59;5.83
1369;94;6.66;7.32;5.99
1370;109;6.68;7.36;6
1371;NA;6.72;7.28;6.16
1372;102;6.69;7.2;6.18
1373;110;6.64;7.13;6.15
1374;NA;6.7;7.13;6.27
1375;103;6.7;7.15;6.25
1376;99;6.72;7.16;6.29
1377;105;6.73;7.15;6.31
1378;104;6.57;7.09;6.06
1379;103;6.94;7.77;6.11
1380;102;6.94;7.76;6.12
1381;108;6.95;7.82;6.07
1382;105;7.18;8.11;6.26
1383;102;7.4;8.43;6.37
1384;98;7.43;8.53;6.33
1385;99;7.27;8.38;6.17
1386;105;7.19;8.34;6.03
1387;100;7.21;8.37;6.05
1388;99;7.18;8.44;5.91
1389;NA;6.98;8.47;5.49
1390;NA;7.07;8.44;5.7
1391;NA;7.07;8.3;5.83
1392;NA;7.07;8.23;5.91
1393;NA;7.07;8.14;6
1394;NA;7.06;8.05;6.08
1395;NA;7.08;7.99;6.16
1396;NA;7.1;7.95;6.24
1397;NA;7.1;7.9;6.29
1398;106;7.1;7.89;6.32
1399;NA;7.21;7.99;6.43
1400;NA;7.15;7.91;6.38
1401;101;7.13;7.86;6.4
1402;103;7.1;7.84;6.36
1403;104;7.16;7.9;6.42
1404;NA;7.11;7.96;6.26
1405;NA;7.14;7.93;6.35
1406;102;7.13;7.88;6.37
1407;101;7.12;7.88;6.36
1408;111;7.14;7.9;6.38
1409;86;7.26;8.03;6.49
1410;102;7.1;7.71;6.49
1411;NA;7.08;7.7;6.45
1412;93;7.05;7.68;6.43
1413;91;6.91;7.5;6.31
1414;NA;6.72;7.26;6.17
1415;105;6.71;7.26;6.17
1416;101;6.67;7.24;6.1
1417;109;6.56;7.18;5.94
1418;98;6.7;7.32;6.08
1419;100;6.75;7.35;6.15
1420;112;6.75;7.35;6.15
1421;99;6.84;7.41;6.26
1422;109;6.92;7.53;6.31
1423;96;6.94;7.54;6.33
1424;103;6.84;7.43;6.25
1425;98;6.91;7.51;6.31
1426;99;6.83;7.43;6.23
1427;102;6.77;7.37;6.17
1428;NA;6.68;7.32;6.04
1429;98;6.57;7.25;5.9
1430;108;6.45;7.14;5.76
1431;102;6.47;7.19;5.75
1432;104;6.43;7.16;5.71
1433;98;6.47;7.18;5.75
1434;113;6.41;7.09;5.72
1435;95;6.56;7.24;5.87
1436;101;6.46;7.09;5.82
1437;103;6.45;7.07;5.83
1438;99;6.47;7.08;5.86
1439;101;6.42;7.04;5.8
1440;98;6.38;7.02;5.74
1441;105;6.33;6.99;5.67
1442;NA;6.22;6.92;5.52
1443;107;6.2;6.91;5.49
1444;109;6.32;7.03;5.6
1445;NA;6.34;7.1;5.59
1446;108;6.4;7.12;5.68
1447;111;6.34;7.09;5.58
1448;96;6.23;7.12;5.35
1449;95;6.1;6.97;5.24
1450;100;6.04;6.81;5.28
1451;103;5.99;6.73;5.26
1452;92;5.95;6.69;5.21
1453;107;5.88;6.48;5.27
1454;105;5.99;6.63;5.36
1455;96;6.13;6.84;5.42
1456;106;6.09;6.85;5.33
1457;105;6.23;7.11;5.35
1458;112;6.24;7.12;5.36
1459;113;6.36;7.19;5.52
1460;111;6.52;7.32;5.72
1461;106;6.57;7.29;5.85
1462;106;6.56;7.25;5.86
1463;101;6.62;7.31;5.93
1464;104;6.56;7.26;5.86
1465;98;6.64;7.41;5.88
1466;105;6.6;7.43;5.77
1467;101;6.59;7.39;5.79
1468;101;6.58;7.44;5.71
1469;NA;6.47;7.34;5.6
1470;NA;6.55;7.41;5.69
1471;NA;6.59;7.39;5.79
1472;114;6.53;7.28;5.77
1473;NA;6.62;7.32;5.91
1474;98;6.52;7.24;5.8
1475;NA;6.44;7.15;5.73
1476;100;6.41;7.1;5.72
1477;110;6.34;7.03;5.65
1478;115;6.33;7.06;5.6
1479;110;6.45;7.19;5.71
1480;104;6.45;7.26;5.63
1481;106;6.38;7.26;5.51
1482;108;6.36;7.29;5.42
1483;101;6.34;7.36;5.32
1484;97;6.3;7.3;5.3
1485;94;6.17;7.17;5.18
1486;99;6.07;6.96;5.19
1487;93;6.01;6.85;5.17
1488;103;5.8;6.6;5
1489;100;5.73;6.55;4.91
1490;97;5.68;6.45;4.92
1491;107;5.59;6.28;4.9
1492;108;5.63;6.31;4.95
1493;100;5.62;6.32;4.92
1494;106;5.54;6.21;4.87
1495;94;5.56;6.21;4.91
1496;97;5.38;5.95;4.81
1497;108;5.31;5.8;4.82
1498;97;5.32;5.81;4.83
1499;111;5.23;5.66;4.8
1500;97;5.26;5.69;4.84
1501;103;5.21;5.62;4.8
1502;115;5.16;5.58;4.75
1503;108;5.2;5.56;4.84
1504;114;5.2;5.56;4.84
1505;106;5.37;5.81;4.93
1506;106;5.36;5.8;4.92
1507;108;5.34;5.79;4.9
1508;111;5.31;5.74;4.87
1509;102;5.23;5.7;4.76
1510;110;5.06;5.58;4.53
1511;111;5.07;5.6;4.54
1512;109;5.15;5.69;4.62
1513;110;5.06;5.66;4.47
1514;105;5.09;5.69;4.49
1515;111;5.16;5.77;4.56
1516;104;5.16;5.77;4.54
1517;106;5.16;5.76;4.56
1518;115;5.05;5.69;4.42
1519;111;5.04;5.73;4.35
1520;105;5.04;5.75;4.33
1521;107;5;5.7;4.31
1522;103;5.03;5.71;4.35
1523;109;4.89;5.6;4.18
1524;109;4.86;5.61;4.12
1525;104;4.95;5.68;4.22
1526;113;4.8;5.57;4.04
1527;105;5.01;5.81;4.21
1528;106;4.95;5.75;4.16
1529;107;5.06;5.89;4.23
1530;107;5.13;5.99;4.28
1531;103;5.18;6.07;4.3
1532;108;5.23;6.17;4.28
1533;111;5.31;6.31;4.31
1534;108;5.33;6.3;4.35
1535;95;5.26;6.22;4.31
1536;108;5.25;6.31;4.18
1537;108;5.24;6.31;4.18
1538;112;5.26;6.33;4.18
1539;120;5.35;6.45;4.24
1540;122;5.4;6.38;4.42
1541;109;5.51;6.38;4.64
1542;102;5.52;6.38;4.66
1543;119;5.5;6.42;4.59
1544;107;5.7;6.58;4.82
1545;97;5.74;6.66;4.81
1546;112;5.61;6.54;4.68
1547;104;5.73;6.67;4.79
1548;118;5.75;6.76;4.74
1549;117;5.89;6.81;4.96
1550;111;6.08;6.98;5.19
1551;109;6.13;6.98;5.28
1552;104;6.19;7.06;5.32
1553;119;6.13;6.99;5.27
1554;NA;6.24;7.01;5.47
1555;101;6.23;6.97;5.48
1556;120;6.17;6.91;5.44
1557;93;6.31;7;5.62
1558;111;6.17;6.77;5.58
1559;96;6.24;6.84;5.64
1560;100;6.18;6.71;5.65
1561;102;6.25;6.84;5.66
1562;99;6.29;6.92;5.65
1563;99;6.13;6.78;5.49
1564;109;6.18;6.96;5.39
1565;114;6.16;6.89;5.43
1566;97;6.28;6.94;5.63
1567;108;6.09;6.76;5.42
1568;106;6.09;6.76;5.43
1569;NA;6.13;6.8;5.46
1570;112;6.16;6.8;5.51
1571;108;6.35;7.04;5.67
1572;107;6.38;7.06;5.71
1573;NA;6.47;7.15;5.79
1574;98;6.54;7.22;5.86
1575;NA;6.45;7.13;5.77
1576;109;6.44;7.09;5.8
1577;100;6.45;7.1;5.81
1578;NA;6.41;7.07;5.75
1579;102;6.37;7.01;5.72
1580;97;6.29;6.95;5.63
1581;105;6.22;6.88;5.55
1582;NA;6.43;7.23;5.63
1583;108;6.41;7.18;5.65
1584;106;6.45;7.2;5.7
1585;105;6.4;7.15;5.65
1586;106;6.23;7.08;5.37
1587;105;6.21;7.08;5.35
1588;106;6.25;7.11;5.39
1589;105;6.39;7.26;5.52
1590;102;6.39;7.31;5.48
1591;94;6.32;7.24;5.39
1592;98;6.2;7.08;5.32
1593;113;6.05;6.94;5.16
1594;93;6.05;6.98;5.13
1595;111;6.05;6.91;5.19
1596;104;6.16;7.02;5.3
1597;114;6.15;7.04;5.26
1598;110;6.25;7.13;5.37
1599;103;6.22;7.15;5.29
1600;101;6.18;7.16;5.21
1601;93;6.12;7.13;5.11
1602;107;6.03;6.94;5.12
1603;99;6.15;7.06;5.24
1604;95;6.21;7.14;5.27
1605;105;6.19;7.18;5.2
1606;106;6.22;7.26;5.18
1607;110;6.21;7.24;5.19
1608;NA;6.25;7.23;5.28
1609;108;6.22;7.14;5.3
1610;110;6.27;7.18;5.36
1611;NA;6.19;7.13;5.25
1612;87;6.07;7.02;5.12
1613;106;5.78;6.6;4.95
1614;103;5.79;6.62;4.96
1615;110;5.83;6.67;4.99
1616;122;6.08;7.06;5.1
1617;107;6.2;7.09;5.31
1618;102;6.23;7.16;5.3
1619;93;6.21;7.13;5.29
1620;NA;6.08;6.97;5.2
1621;109;6.07;6.91;5.22
1622;106;6.09;6.92;5.26
