"id";"days_to_event";"date_out";"out_event";"date_in";"in_event";"breed";"color";"intake_age"
"A747069";4;"04/17/2017 07:15:00 PM";"Transfer";"04/13/2017 12:56:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";12
"A682703";15;"07/16/2014 02:47:00 PM";"Transfer";"07/01/2014 06:39:00 PM";"Stray";"Domestic Shorthair Mix";"Orange Tabby";48
"A681400";2;"06/18/2014 02:09:00 PM";"Transfer";"06/16/2014 11:24:00 AM";"Stray";"Domestic Shorthair Mix";"Blue/White";1
"A707389";6;"07/18/2015 01:06:00 PM";"Transfer";"07/12/2015 11:27:00 AM";"Stray";"Domestic Medium Hair Mix";"Black";36
"A765933";4;"02/03/2018 07:11:00 PM";"Transfer";"01/30/2018 11:28:00 AM";"Stray";"Domestic Shorthair Mix";"Brown Tabby/White";24
"A735716";1;"09/28/2016 01:50:00 PM";"Transfer";"09/27/2016 06:06:00 PM";"Stray";"Domestic Shorthair Mix";"Black";4
"A738497";36;"12/22/2016 01:35:00 PM";"Transfer";"11/16/2016 01:02:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";48
"A757469";14;"09/17/2017 06:24:00 PM";"Adoption";"09/03/2017 10:32:00 AM";"Owner Surrender";"Domestic Shorthair Mix";"Blue";12
"A730009";45;"08/11/2016 10:40:00 AM";"Adoption";"06/27/2016 11:28:00 AM";"Owner Surrender";"Domestic Shorthair Mix";"Black";3
"A752638";4;"06/29/2017 06:33:00 PM";"Transfer";"06/25/2017 01:06:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";36
"A761461";5;"11/10/2017 07:13:00 PM";"Transfer";"11/05/2017 11:24:00 AM";"Stray";"American Shorthair Mix";"Black/Black";6
"A667579";41;"12/31/2013 03:25:00 PM";"Transfer";"11/20/2013 10:45:00 AM";"Stray";"Domestic Shorthair Mix";"Black";4
"A693030";17;"12/17/2014 05:31:00 PM";"Adoption";"11/30/2014 03:58:00 PM";"Stray";"Domestic Shorthair Mix";"Orange Tabby";2
"A718746";5;"01/11/2016 11:45:00 AM";"Transfer";"01/06/2016 12:15:00 PM";"Stray";"Domestic Shorthair Mix";"Black/White";96
"A666198";55;"12/22/2013 12:56:00 PM";"Transfer";"10/28/2013 04:03:00 PM";"Stray";"Domestic Shorthair Mix";"Tortie";1
"A705717";81;"09/09/2015 08:10:00 AM";"Adoption";"06/20/2015 02:39:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";1
"A709195";1;"08/06/2015 09:00:00 AM";"Transfer";"08/05/2015 06:12:00 PM";"Stray";"Domestic Shorthair Mix";"Black";4
"A680225";1;"06/01/2014 05:15:00 PM";"Transfer";"05/31/2014 11:02:00 AM";"Stray";"Domestic Shorthair Mix";"Calico";24
"A704731";77;"08/24/2015 11:00:00 AM";"Transfer";"06/08/2015 01:11:00 PM";"Stray";"Domestic Shorthair Mix";"Tortie";12
"A704031";32;"07/02/2015 12:00:00 AM";"Transfer";"05/31/2015 04:40:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"White/Black";1
"A681561";1;"06/19/2014 01:20:00 PM";"Transfer";"06/18/2014 02:46:00 PM";"Stray";"Domestic Shorthair Mix";"Orange Tabby/White";1
"A696067";5;"02/02/2015 02:56:00 PM";"Transfer";"01/28/2015 03:19:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby/White";12
"A763827";5;"12/21/2017 05:34:00 PM";"Adoption";"12/16/2017 12:32:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Black";1
"A707258";36;"08/15/2015 09:32:00 AM";"Adoption";"07/10/2015 02:56:00 PM";"Owner Surrender";"Siamese Mix";"Lynx Point/White";60
"A688402";8;"09/27/2014 05:02:00 PM";"Transfer";"09/19/2014 10:33:00 AM";"Owner Surrender";"Domestic Shorthair Mix";"Black/White";3
"A760648";18;"11/08/2017 12:00:00 AM";"Adoption";"10/21/2017 06:34:00 PM";"Stray";"Domestic Shorthair Mix";"White/White";1
"A704280";45;"07/18/2015 06:05:00 PM";"Adoption";"06/03/2015 12:29:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby/White";72
"A707901";100;"10/21/2015 11:18:00 AM";"Adoption";"07/13/2015 03:03:00 PM";"Stray";"Domestic Shorthair Mix";"Black";0
"A683157";1;"07/08/2014 09:00:00 AM";"Transfer";"07/07/2014 06:52:00 PM";"Stray";"Domestic Longhair Mix";"Black Smoke";12
"A681976";4;"06/26/2014 05:16:00 PM";"Transfer";"06/22/2014 11:42:00 AM";"Stray";"Domestic Shorthair Mix";"Black/White";2
"A718700";52;"02/26/2016 12:20:00 PM";"Transfer";"01/05/2016 02:31:00 PM";"Stray";"Domestic Shorthair Mix";"Black";60
"A682824";5;"07/08/2014 02:48:00 PM";"Transfer";"07/03/2014 03:35:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Black/White";2
"A669594";29;"01/21/2014 06:34:00 PM";"Adoption";"12/23/2013 03:45:00 PM";"Stray";"Domestic Medium Hair Mix";"Black";4
"A739444";24;"12/27/2016 06:33:00 PM";"Adoption";"12/03/2016 10:53:00 AM";"Owner Surrender";"Domestic Shorthair Mix";"Brown Tabby";1
"A654580";29;"01/08/2017 04:24:00 PM";"Adoption";"12/10/2016 03:28:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Orange Tabby/White";36
"A743911";2;"02/21/2017 04:32:00 PM";"Euthanasia";"02/19/2017 12:48:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Gray/White";10
"A722303";4;"03/18/2016 04:53:00 PM";"Adoption";"03/14/2016 01:31:00 PM";"Stray";"Domestic Shorthair Mix";"Orange Tabby/White";12
"A751145";13;"06/17/2017 05:14:00 PM";"Adoption";"06/04/2017 02:24:00 PM";"Stray";"Domestic Shorthair Mix";"Black";1
"A695546";1;"01/18/2015 09:00:00 AM";"Transfer";"01/17/2015 04:34:00 PM";"Stray";"Domestic Shorthair Mix";"Orange Tabby";12
"A730239";166;"12/13/2016 11:41:00 AM";"Adoption";"06/30/2016 03:00:00 PM";"Stray";"Domestic Shorthair Mix";"Black/White";1
"A610074";56;"06/28/2016 03:18:00 PM";"Adoption";"05/03/2016 12:17:00 PM";"Owner Surrender";"Siamese Mix";"Seal Point";60
"A769724";32;"05/11/2018 01:37:00 PM";"Transfer";"04/09/2018 02:09:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Brown Tabby";24
"A721113";6;"02/27/2016 06:22:00 PM";"Transfer";"02/21/2016 03:19:00 PM";"Stray";"Domestic Shorthair Mix";"Black";12
"A761894";30;"12/11/2017 05:33:00 PM";"Adoption";"11/11/2017 12:15:00 PM";"Owner Surrender";"Siamese Mix";"Lynx Point";4
"A710949";11;"09/10/2015 01:52:00 PM";"Adoption";"08/30/2015 02:40:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Black";5
"A738302";39;"12/21/2016 10:32:00 AM";"Adoption";"11/12/2016 02:09:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";1
"A666507";39;"12/11/2013 12:50:00 PM";"Transfer";"11/02/2013 12:24:00 PM";"Stray";"Domestic Shorthair Mix";"Cream";3
"A352713";12;"04/25/2017 12:25:00 PM";"Transfer";"04/13/2017 04:29:00 PM";"Stray";"Domestic Shorthair Mix";"Silver Tabby";156
"A689208";1;"10/01/2014 07:56:00 AM";"Euthanasia";"09/30/2014 04:55:00 PM";"Stray";"Domestic Shorthair Mix";"White/Brown Tabby";24
"A693900";12;"12/28/2014 02:05:00 PM";"Transfer";"12/16/2014 03:30:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Black/White";72
"A702378";12;"05/24/2015 01:49:00 PM";"Adoption";"05/12/2015 06:46:00 PM";"Stray";"Domestic Shorthair Mix";"Black";72
"A721955";4;"03/12/2016 07:19:00 PM";"Transfer";"03/08/2016 11:31:00 AM";"Stray";"Domestic Shorthair Mix";"Brown Tabby/White";24
"A681972";7;"06/29/2014 02:49:00 PM";"Adoption";"06/22/2014 11:24:00 AM";"Stray";"Siamese Mix";"Lynx Point";1
"A680040";5;"06/03/2014 02:43:00 PM";"Adoption";"05/29/2014 11:02:00 AM";"Owner Surrender";"Domestic Longhair Mix";"White/Blue";2
"A692612";27;"12/20/2014 11:55:00 AM";"Adoption";"11/23/2014 01:54:00 PM";"Stray";"Domestic Shorthair Mix";"Torbie";2
"A677735";141;"09/16/2014 11:30:00 AM";"Transfer";"04/28/2014 03:34:00 PM";"Owner Surrender";"Domestic Shorthair";"Black/White";24
"A765799";71;"05/02/2018 01:11:00 PM";"Adoption";"02/20/2018 01:56:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Brown Tabby/White";108
"A679736";1;"05/26/2014 06:12:00 PM";"Transfer";"05/25/2014 01:56:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";9
"A759252";4;"10/03/2017 05:34:00 PM";"Adoption";"09/29/2017 02:00:00 PM";"Stray";"Domestic Shorthair Mix";"Torbie/White";2
"A745075";1;"03/13/2017 01:53:00 PM";"Transfer";"03/12/2017 01:21:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";7
"A751448";50;"07/28/2017 10:40:00 AM";"Adoption";"06/08/2017 12:48:00 PM";"Stray";"Domestic Medium Hair Mix";"Blue Tabby";1
"A694659";1;"01/02/2015 09:00:00 AM";"Transfer";"01/01/2015 02:50:00 PM";"Stray";"Domestic Shorthair Mix";"Black/White";12
"A728358";65;"08/06/2016 06:15:00 PM";"Adoption";"06/02/2016 06:23:00 PM";"Stray";"Domestic Shorthair Mix";"Black/White";4
"A716551";25;"12/16/2015 11:50:00 AM";"Adoption";"11/21/2015 11:39:00 AM";"Public Assist";"Snowshoe Mix";"Seal Point";24
"A753878";66;"09/16/2017 05:05:00 PM";"Adoption";"07/12/2017 09:09:00 AM";"Stray";"Domestic Shorthair Mix";"Blue Tabby";6
"A668273";2;"12/03/2013 02:08:00 PM";"Transfer";"12/01/2013 12:13:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Black/White";96
"A731320";171;"01/07/2017 04:47:00 PM";"Adoption";"07/20/2016 01:32:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Blue Tabby/White";84
"A729565";4;"06/24/2016 05:04:00 PM";"Adoption";"06/20/2016 12:54:00 PM";"Stray";"Domestic Shorthair Mix";"Silver Tabby/White";2
"A711381";1;"09/07/2015 09:00:00 AM";"Transfer";"09/06/2015 11:19:00 AM";"Stray";"Domestic Shorthair Mix";"Orange Tabby/White";7
"A708850";8;"08/09/2015 01:48:00 PM";"Transfer";"08/01/2015 02:17:00 PM";"Stray";"Domestic Shorthair Mix";"Blue Tabby";1
"A673443";6;"03/02/2014 12:49:00 PM";"Adoption";"02/24/2014 12:10:00 PM";"Owner Surrender";"Tonkinese Mix";"Chocolate Point";6
"A763724";4;"12/19/2017 02:36:00 PM";"Transfer";"12/15/2017 07:01:00 AM";"Stray";"Domestic Shorthair Mix";"Brown Tabby/Black";1
"A672766";2;"02/18/2014 04:06:00 PM";"Transfer";"02/16/2014 05:53:00 PM";"Stray";"Domestic Longhair Mix";"Torbie";10
"A706093";5;"06/29/2015 01:56:00 PM";"Transfer";"06/24/2015 12:17:00 PM";"Stray";"Domestic Shorthair Mix";"White/Black";3
"A723284";11;"04/09/2016 12:21:00 PM";"Adoption";"03/29/2016 02:27:00 PM";"Stray";"Domestic Shorthair Mix";"Calico";10
"A751518";32;"07/11/2017 06:00:00 PM";"Adoption";"06/09/2017 10:55:00 AM";"Stray";"Siamese Mix";"Lynx Point";4
"A664302";2;"10/03/2013 12:27:00 PM";"Transfer";"10/01/2013 04:03:00 PM";"Stray";"Domestic Shorthair Mix";"Black/White";9
"A664336";6;"10/08/2013 06:44:00 PM";"Adoption";"10/02/2013 11:04:00 AM";"Stray";"Domestic Shorthair Mix";"Calico";2
"A678753";18;"05/30/2014 04:59:00 PM";"Transfer";"05/12/2014 03:10:00 PM";"Stray";"Domestic Shorthair Mix";"Black/White";4
"A733400";1;"08/22/2016 09:00:00 AM";"Transfer";"08/21/2016 11:42:00 AM";"Stray";"Domestic Shorthair Mix";"Brown Tabby/White";3
"A678503";5;"05/14/2014 03:09:00 PM";"Transfer";"05/09/2014 03:44:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby/White";1
"A690667";1;"10/24/2014 12:35:00 PM";"Transfer";"10/23/2014 06:59:00 PM";"Stray";"Domestic Shorthair Mix";"Tortie";3
"A728224";4;"06/05/2016 05:37:00 PM";"Adoption";"06/01/2016 12:23:00 PM";"Stray";"Domestic Shorthair Mix";"White/Brown Tabby";3
"A754235";21;"08/07/2017 06:06:00 PM";"Adoption";"07/17/2017 04:02:00 PM";"Stray";"Domestic Shorthair Mix";"Tortie";2
"A706563";4;"07/04/2015 10:31:00 AM";"Transfer";"06/30/2015 02:53:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Black";3
"A697049";175;"08/11/2015 03:26:00 PM";"Euthanasia";"02/17/2015 11:06:00 AM";"Stray";"Domestic Shorthair Mix";"Cream Tabby/White";12
"A726579";23;"06/04/2016 02:04:00 PM";"Adoption";"05/12/2016 01:57:00 PM";"Stray";"Domestic Medium Hair";"Black/White";1
"A692877";13;"12/09/2014 03:18:00 PM";"Transfer";"11/26/2014 06:55:00 PM";"Stray";"Domestic Shorthair Mix";"Cream Tabby/White";24
"A750967";46;"07/18/2017 10:58:00 PM";"Adoption";"06/02/2017 03:50:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";3
"A721066";2;"02/22/2016 11:11:00 AM";"Transfer";"02/20/2016 03:31:00 PM";"Euthanasia Request";"Domestic Shorthair Mix";"Black Tabby/White";120
"A686496";8;"08/30/2014 02:53:00 PM";"Adoption";"08/22/2014 04:55:00 PM";"Owner Surrender";"Domestic Shorthair Mix";"Brown Tabby";5
"A732273";7;"08/12/2016 02:32:00 PM";"Transfer";"08/05/2016 10:59:00 AM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";144
"A707453";6;"07/19/2015 07:20:00 PM";"Adoption";"07/13/2015 12:15:00 PM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";2
"A704765";43;"07/21/2015 02:09:00 PM";"Transfer";"06/08/2015 06:05:00 PM";"Stray";"Domestic Shorthair Mix";"Tortie";1
"A726816";2;"05/16/2016 09:06:00 AM";"Transfer";"05/14/2016 07:27:00 PM";"Stray";"Domestic Medium Hair Mix";"Black";5
"A734896";10;"09/25/2016 10:19:00 PM";"Adoption";"09/15/2016 09:28:00 AM";"Stray";"Domestic Shorthair Mix";"Brown Tabby";5
"A719854";4;"02/02/2016 06:51:00 PM";"Transfer";"01/29/2016 11:16:00 AM";"Stray";"Domestic Shorthair Mix";"White/Brown Tabby";8
"A720867";25;"03/12/2016 01:11:00 PM";"Adoption";"02/16/2016 03:34:00 PM";"Stray";"Domestic Shorthair Mix";"Calico";120
