"pages";"major";"year"
166;"microbiology immunology and cancer biology";2010
129;"nutrition";2012
155;"ecology evolution and behavior";2010
130;"ecology evolution and behavior";2012
172;"applied economics";2012
116;"educational psychology";2011
75;"comparative and molecular biosciences";2012
151;"teaching and learning";2011
190;"material science and engineering";2010
196;"microbiology immunology and cancer biology";2012
253;"american studies";2012
318;"chemistry";2014
158;"nursing";2010
66;"economics";2013
74;"kinesiology";2014
105;"mathematics";2009
287;"civil engineering";2010
112;"educational psychology";2011
190;"educational psychology";2009
286;"nursing";2010
296;"history";2009
557;"business administration";2010
61;"educational psychology";2013
218;"education curriculum and instruction";2010
109;"medicinal chemistry";2013
225;"education curriculum and instruction";2010
248;"history of science technology and medicine";2012
218;"astrophysics";2013
239;"mechanical engineering";2013
191;"biochemistry molecular biology and biophysics";2009
156;"psychology";2010
198;"microbiology immunology and cancer biology";2010
98;"mathematics";2009
64;"natural resources science and management";2011
97;"educational policy and administration";2009
115;"molecular cellular developmental biology and genetics";2013
142;"geography";2012
125;"economics";2009
102;"educational policy and administration";2013
134;"computer science";2012
168;"health services research policy and administration";2009
250;"educational policy and administration";2009
104;"environmental health";2008
153;"physics";2013
288;"educational psychology";2008
232;"medicinal chemistry";2009
232;"geography";2013
204;"plant pathology";2011
115;"chemistry";2013
77;"plant biological sciences";2014
238;"education curriculum and instruction";2014
180;"mechanical engineering";2010
274;"social and administrative pharmacy";2013
130;"chemical engineering";2013
245;"education curriculum and instruction";2012
137;"molecular cellular developmental biology and genetics";2013
102;"computer science";2009
237;"political science";2009
237;"educational psychology";2012
207;"neuroscience";2013
99;"physics";2009
117;"plant pathology";2009
177;"epidemiology";2011
192;"educational policy and administration";2012
118;"psychology";2011
223;"work and human resource education";2012
123;"material science and engineering";2013
278;"french";2014
90;"psychology";2008
283;"chemical engineering";2010
275;"history";2010
113;"geography";2008
126;"geology";2013
161;"neuroscience";2012
186;"food science";2013
110;"psychology";2013
102;"health services research policy and administration";2010
216;"hispanic and luso-brazilian literatures and linguistics";2010
219;"communication studies";2010
193;"chemical engineering";2009
184;"educational policy and administration";2006
235;"education work/community/family education";2010
170;"social work";2010
104;"electrical engineering";2013
208;"mechanical engineering";2011
268;"applied plant sciences";2013
156;"chemical engineering";2010
280;"kinesiology";2010
114;"electrical engineering";2011
135;"organizational leadership policy and development";2014
211;"english";2012
232;"human resources and industrial relations";2009
273;"mechanical engineering";2008
242;"educational policy and administration";2009
119;"psychology";2011
326;"political science";2009
151;"computer science";2008
216;"veterinary medicine";2010
146;"computer science";2010
272;"rehabilitation science";2010
236;"communication studies";2013
150;"chemistry";2008
203;"water resources science";2011
214;"educational psychology";2012
153;"epidemiology";2010
229;"physics";2010
200;"astrophysics";2008
148;"environmental health";2012
110;"educational psychology";2009
202;"philosophy";2008
144;"ecology evolution and behavior";2009
259;"communication studies";2014
226;"art history";2012
236;"hispanic and luso-brazilian literatures and linguistics";2010
169;"applied plant sciences";2008
376;"history";2009
298;"education curriculum and instruction";2012
267;"education curriculum and instruction";2012
132;"molecular cellular developmental biology and genetics";2009
169;"environmental health";2014
184;"mechanical engineering";2010
141;"computer science";2013
303;"nutrition";2013
136;"biochemistry molecular biology and biophysics";2010
222;"educational policy and administration";2010
123;"educational policy and administration";2010
161;"work and human resource education";2009
143;"education curriculum and instruction";2010
71;"economics";2012
280;"philosophy";2009
177;"microbiology immunology and cancer biology";2009
219;"american studies";2013
184;"theatre arts";2012
157;"educational policy and administration";2009
115;"kinesiology";2012
191;"chemistry";2013
173;"english";2009
120;"kinesiology";2009
182;"conservation biology";2010
137;"neuroscience";2009
205;"germanic studies";2013
129;"pharmacology";2013
169;"ecology evolution and behavior";2012
149;"teaching and learning";2012
60;"mathematics";2011
127;"psychology";2011
170;"linguistics";2009
211;"history";2010
153;"molecular cellular developmental biology and genetics";2009
219;"mechanical engineering";2010
197;"educational psychology";2013
128;"biochemistry molecular biology and biophysics";2010
170;"mechanical engineering";2013
177;"chemistry";2010
112;"kinesiology";2010
182;"political science";2009
136;"biochemistry molecular biology and biophysics";2013
197;"chemistry";2013
157;"educational policy and administration";2013
134;"chemistry";2009
141;"teaching and learning";2014
223;"education curriculum and instruction";2012
79;"educational psychology";2013
274;"health informatics";2012
129;"electrical engineering";2011
85;"electrical engineering";2009
305;"french";2012
286;"history";2012
83;"mass communication";2010
128;"educational policy and administration";2011
295;"biochemistry molecular biology and biophysics";2013
126;"psychology";2009
100;"neuroscience";2010
221;"kinesiology";2013
97;"educational psychology";2011
113;"civil engineering";2013
72;"psychology";2013
61;"biostatistics";2011
132;"educational policy and administration";2011
84;"civil engineering";2011
300;"psychology";2012
161;"computer science";2011
155;"neuroscience";2008
198;"work and human resource education";2012
248;"educational psychology";2011
149;"educational policy and administration";2013
176;"civil engineering";2013
126;"kinesiology";2013
148;"geology";2013
113;"educational policy and administration";2010
262;"education curriculum and instruction";2013
259;"biomedical engineering";2013
139;"electrical engineering";2013
294;"social and administrative pharmacy";2011
103;"chemistry";2012
78;"pharmacology";2010
126;"scientific computation";2012
229;"education curriculum and instruction";2013
124;"biochemistry molecular biology and biophysics";2012
172;"water resources science";2008
100;"computer science";2008
117;"veterinary medicine";2009
170;"mathematics";2009
85;"educational psychology";2011
124;"aerospace engineering and mechanics";2012
142;"chemical engineering";2012
214;"biochemistry molecular biology and biophysics";2010
108;"aerospace engineering and mechanics";2012
158;"civil engineering";2010
511;"entomology";2009
120;"biomedical engineering";2008
173;"physics";2010
157;"computer science";2011
126;"pharmacology";2011
260;"computer science";2009
154;"design";2011
149;"environmental health";2010
121;"electrical engineering";2012
210;"music";2008
206;"psychology";2009
194;"educational policy and administration";2009
178;"chemical engineering";2008
247;"history of science technology and medicine";2013
141;"microbiology immunology and cancer biology";2010
193;"food science";2011
247;"chemical engineering";2011
294;"education curriculum and instruction";2013
240;"hispanic and luso-brazilian literatures and linguistics";2009
237;"comparative and molecular biosciences";2010
250;"theatre arts";2010
147;"biochemistry molecular biology and biophysics";2011
159;"mechanical engineering";2014
146;"rehabilitation science";2009
206;"educational psychology";2008
293;"pharmaceutics";2009
112;"kinesiology";2011
91;"mathematics";2009
121;"industrial and systems engineering";2011
71;"mathematics";2013
104;"mathematics";2013
91;"aerospace engineering and mechanics";2012
162;"computer science";2010
114;"computer science";2011
196;"physics";2013
80;"biochemistry molecular biology and biophysics";2010
250;"chemistry";2009
152;"mechanical engineering";2013
161;"applied economics";2012
78;"health services research policy and administration";2011
113;"physics";2012
163;"computer science";2011
93;"physics";2010
69;"statistics";2010
137;"sociology";2009
126;"social administrative and clinical pharmacy";2013
197;"pharmaceutics";2009
98;"computer science";2013
116;"physics";2009
162;"chemical engineering";2013
161;"civil engineering";2013
136;"design housing and apparel";2013
168;"sociology";2012
167;"organizational leadership policy and development";2014
139;"linguistics";2011
75;"economics";2012
128;"chemical engineering";2012
108;"physics";2011
168;"organizational leadership policy and development";2013
234;"sociology";2013
169;"experimental and clinical pharmacology";2013
159;"aerospace engineering and mechanics";2012
281;"art history";2013
83;"educational psychology";2009
118;"educational policy and administration";2012
158;"mathematics";2009
175;"statistics";2010
80;"chemistry";2011
198;"chemical engineering";2010
184;"nutrition";2013
197;"nursing";2011
209;"computer science";2010
264;"mechanical engineering";2013
157;"educational policy and administration";2010
227;"molecular cellular developmental biology and genetics";2013
182;"water resources science";2009
142;"computer science";2010
155;"work and human resource education";2013
135;"aerospace engineering and mechanics";2014
104;"microbiology immunology and cancer biology";2009
178;"pharmacology";2009
222;"feminist studies";2008
98;"educational policy and administration";2010
119;"microbiology immunology and cancer biology";2009
116;"electrical engineering";2012
123;"organizational leadership policy and development";2013
99;"electrical engineering";2009
143;"physics";2009
197;"applied economics";2011
93;"microbiology immunology and cancer biology";2010
109;"educational psychology";2010
191;"experimental and clinical pharmacology";2011
154;"educational policy and administration";2009
161;"sociology";2012
269;"sociology";2011
167;"educational psychology";2011
137;"educational psychology";2012
217;"geography";2011
81;"child psychology";2010
138;"child psychology";2010
226;"english";2011
127;"electrical engineering";2008
162;"chemical engineering";2010
123;"electrical engineering";2011
184;"english";2013
153;"family social science";2013
127;"pharmacology";2008
86;"applied plant sciences";2012
70;"animal sciences";2014
79;"animal sciences";2013
114;"educational psychology";2010
233;"work and human resource education";2009
360;"psychology";2008
390;"feminist studies";2012
158;"nursing";2013
154;"mechanical engineering";2013
120;"microbiology immunology and cancer biology";2012
132;"conservation biology";2009
249;"work and human resource education";2011
127;"physics";2012
179;"natural resources science and management";2013
105;"educational psychology";2012
251;"natural resources science and management";2009
149;"pharmacology";2013
148;"child psychology";2013
146;"veterinary medicine";2012
136;"educational psychology";2009
339;"history";2012
189;"geophysics";2008
107;"kinesiology";2011
62;"child psychology";2012
79;"child psychology";2013
255;"work and human resource education";2013
126;"ecology evolution and behavior";2008
80;"health informatics";2013
273;"political science";2013
154;"agricultural and applied economics";2012
288;"feminist studies";2010
271;"french";2009
180;"communication studies";2012
23;"music";2012
105;"biomedical engineering";2012
264;"history of science technology and medicine";2011
212;"feminist studies";2010
271;"nursing";2011
365;"education curriculum and instruction";2010
124;"mechanical engineering";2013
119;"physics";2012
228;"mass communication";2014
175;"education curriculum and instruction";2013
316;"anthropology";2009
163;"biochemistry molecular biology and biophysics";2011
238;"english";2010
267;"epidemiology";2010
138;"child psychology";2011
214;"education curriculum and instruction";2014
265;"political science";2009
89;"scientific computation";2014
216;"applied economics";2011
326;"theatre arts";2010
131;"chemical engineering";2013
127;"education curriculum and instruction";2010
258;"electrical engineering";2014
166;"sociology";2010
110;"physics";2009
143;"agricultural and applied economics";2008
160;"conservation biology";2010
348;"political science";2013
111;"education curriculum and instruction";2010
158;"educational psychology";2010
194;"social work";2014
87;"natural resources science and management";2009
161;"pharmacology";2012
168;"medicinal chemistry";2011
175;"philosophy";2010
162;"philosophy";2011
192;"neuroscience";2009
133;"biochemistry molecular biology and biophysics";2010
246;"english";2009
168;"geology";2012
423;"psychology";2009
270;"chemical engineering";2009
143;"health services research policy and administration";2010
158;"neuroscience";2011
255;"geology";2012
217;"social and administrative pharmacy";2014
148;"ecology evolution and behavior";2008
254;"nursing";2008
142;"pharmacology";2010
136;"plant biological sciences";2010
85;"psychology";2010
295;"psychology";2011
94;"psychology";2008
95;"physics";2012
158;"electrical engineering";2010
105;"mathematics";2011
122;"plant biological sciences";2008
100;"neuroscience";2012
168;"mechanical engineering";2009
184;"chemistry";2010
179;"applied economics";2012
331;"educational policy and administration";2008
140;"astrophysics";2013
114;"computer science";2013
169;"english";2013
173;"education curriculum and instruction";2010
138;"biochemistry molecular biology and biophysics";2011
170;"rehabilitation science";2012
87;"statistics";2009
139;"chemistry";2008
171;"psychology";2011
108;"chemistry";2009
263;"educational policy and administration";2009
144;"design";2010
204;"mass communication";2012
103;"computer science";2013
169;"microbiology immunology and cancer biology";2010
126;"epidemiology";2013
137;"computer science";2009
299;"educational psychology";2013
217;"feminist studies";2013
131;"business administration";2009
178;"political science";2008
114;"conservation biology";2011
137;"physics";2012
140;"electrical engineering";2014
245;"pharmaceutics";2009
286;"educational policy and administration";2012
68;"agricultural and applied economics";2013
278;"hispanic and luso-brazilian literatures and linguistics";2009
194;"entomology";2011
173;"human resources and industrial relations";2013
179;"educational policy and administration";2010
337;"nursing";2010
129;"education work/community/family education";2010
79;"family social science";2013
102;"family social science";2010
236;"american studies";2013
110;"microbiology immunology and cancer biology";2010
151;"psychology";2010
84;"psychology";2012
157;"mechanical engineering";2013
195;"veterinary medicine";2013
407;"sociology";2013
407;"physics";2009
108;"chemical engineering";2011
176;"education curriculum and instruction";2013
60;"mathematics";2012
161;"water resources science";2012
124;"ecology evolution and behavior";2011
258;"food science";2013
150;"natural resources science and management";2010
313;"history";2013
167;"biosystems and agricultural engineering";2009
350;"mass communication";2011
164;"industrial and systems engineering";2012
119;"electrical engineering";2012
291;"educational policy and administration";2013
220;"education curriculum and instruction";2009
168;"civil engineering";2012
116;"mechanical engineering";2013
293;"comparative literature";2011
97;"aerospace engineering and mechanics";2010
110;"mathematics";2009
84;"aerospace engineering and mechanics";2013
103;"molecular cellular developmental biology and genetics";2011
172;"economics";2013
304;"agricultural and applied economics";2010
178;"computer science";2013
165;"environmental health";2013
96;"educational psychology";2009
103;"bioproducts/biosystems science engineering and management";2013
162;"natural resources science and management";2011
218;"education curriculum and instruction";2011
245;"education curriculum and instruction";2011
137;"economics";2010
88;"physics";2009
160;"mass communication";2009
90;"neuroscience";2013
125;"ecology evolution and behavior";2009
105;"physics";2013
101;"business administration";2008
160;"educational policy and administration";2009
138;"water resources science";2008
156;"economics";2013
165;"mechanical engineering";2011
503;"feminist studies";2013
161;"educational policy and administration";2010
111;"social work";2012
86;"psychology";2012
146;"plant biological sciences";2012
156;"speech-language-hearing sciences";2011
171;"civil engineering";2013
253;"mass communication";2011
230;"anthropology";2011
82;"astrophysics";2010
141;"educational policy and administration";2011
201;"biomedical engineering";2009
126;"biochemistry molecular biology and biophysics";2013
182;"water resources science";2012
186;"plant biological sciences";2013
107;"mechanical engineering";2012
163;"chemistry";2011
107;"computer science";2007
167;"educational policy and administration";2012
142;"economics";2010
191;"educational policy and administration";2012
105;"oral biology";2010
160;"chemical engineering";2010
202;"education curriculum and instruction";2012
179;"psychology";2010
147;"educational policy and administration";2011
209;"educational policy and administration";2011
500;"natural resources science and management";2012
150;"plant biological sciences";2013
382;"history";2013
158;"chemistry";2009
101;"economics";2009
96;"mechanical engineering";2009
592;"geography";2012
267;"physics";2013
187;"civil engineering";2008
254;"education curriculum and instruction";2011
247;"mass communication";2014
196;"family social science";2012
151;"environmental health";2011
134;"social and administrative pharmacy";2012
189;"civil engineering";2008
202;"educational policy and administration";2011
141;"veterinary medicine";2012
148;"applied plant sciences";2011
91;"computer science";2013
135;"environmental health";2013
84;"pharmacology";2012
169;"computer science";2013
239;"linguistics";2009
180;"molecular cellular developmental biology and genetics";2013
235;"geography";2013
132;"oral biology";2011
139;"civil engineering";2011
182;"computer science";2012
131;"electrical engineering";2012
66;"economics";2011
81;"mathematics";2011
399;"history";2008
147;"human resources and industrial relations";2010
152;"electrical engineering";2011
298;"history";2011
198;"astrophysics";2013
300;"chemistry";2010
111;"health informatics";2012
128;"experimental and clinical pharmacology";2012
201;"biochemistry molecular biology and biophysics";2009
106;"educational psychology";2011
120;"computer science";2013
69;"mathematics";2013
241;"chemistry";2011
242;"educational policy and administration";2013
173;"statistics";2008
107;"aerospace engineering and mechanics";2013
210;"chemistry";2013
198;"mass communication";2013
179;"educational policy and administration";2008
128;"teaching and learning";2011
99;"educational policy and administration";2009
298;"sociology";2012
127;"natural resources science and management";2010
165;"psychology";2011
120;"natural resources science and management";2012
143;"geology";2010
131;"work and human resource education";2011
105;"communication studies";2011
245;"english";2013
353;"anthropology";2009
184;"educational policy and administration";2013
141;"educational policy and administration";2013
256;"sociology";2009
182;"pharmacology";2009
172;"education curriculum and instruction";2009
173;"education curriculum and instruction";2013
92;"mathematics";2009
106;"molecular cellular developmental biology and genetics";2012
145;"computer science";2012
88;"psychology";2010
113;"electrical engineering";2012
206;"water resources science";2009
310;"political science";2014
113;"health services research policy and administration";2010
1019;"anthropology";2010
246;"history";2010
185;"mechanical engineering";2010
224;"american studies";2011
128;"education work/community/family education";2009
207;"comparative and molecular biosciences";2013
314;"nutrition";2009
151;"work and human resource education";2011
165;"education curriculum and instruction";2013
283;"communication studies";2011
211;"design housing and apparel";2012
145;"business administration";2009
185;"biochemistry molecular biology and biophysics";2011
187;"chemistry";2010
107;"nursing";2009
236;"work and human resource education";2012
221;"education work/community/family education";2011
176;"business administration";2013
133;"child psychology";2010
135;"psychology";2010
138;"electrical engineering";2011
197;"medicinal chemistry";2013
165;"computer science";2009
301;"english";2012
239;"political science";2012
99;"educational psychology";2009
97;"educational psychology";2009
163;"work and human resource education";2009
174;"mechanical engineering";2013
132;"civil engineering";2009
169;"anthropology";2012
237;"civil engineering";2012
203;"educational psychology";2014
92;"health informatics";2011
184;"physics";2008
91;"plant pathology";2013
163;"aerospace engineering and mechanics";2011
188;"education curriculum and instruction";2010
132;"nursing";2010
356;"hispanic and luso literatures cultures and linguistics";2010
147;"physics";2011
257;"biomedical engineering";2008
134;"material science and engineering";2009
140;"physics";2010
123;"chemistry";2013
196;"chemical engineering";2008
158;"civil engineering";2013
262;"theatre arts";2011
107;"electrical engineering";2012
166;"civil engineering";2011
220;"plant pathology";2010
94;"psychology";2011
100;"electrical engineering";2013
282;"medicinal chemistry";2012
186;"chemistry";2011
167;"mechanical engineering";2014
108;"pharmacology";2009
137;"biochemistry molecular biology and biophysics";2009
147;"applied economics";2012
138;"computer science";2012
121;"chemical engineering";2013
271;"linguistics";2010
114;"physics";2009
95;"educational psychology";2009
197;"epidemiology";2012
178;"molecular cellular developmental biology and genetics";2013
232;"geography";2009
217;"mechanical engineering";2009
134;"electrical engineering";2011
104;"chemistry";2010
156;"ecology evolution and behavior";2013
132;"molecular cellular developmental biology and genetics";2011
278;"educational policy and administration";2010
235;"comparative literature";2012
89;"aerospace engineering and mechanics";2010
282;"plant biological sciences";2009
265;"mass communication";2012
284;"comparative studies in discourse and society";2012
120;"mechanical engineering";2012
181;"microbiology immunology and cancer biology";2010
305;"history";2011
215;"political science";2010
225;"psychology";2012
189;"kinesiology";2011
91;"molecular cellular developmental biology and genetics";2013
183;"microbiology immunology and cancer biology";2012
69;"economics";2011
262;"theatre arts";2011
278;"education curriculum and instruction";2012
144;"veterinary medicine";2011
98;"teaching and learning";2011
160;"ecology evolution and behavior";2013
129;"social administrative and clinical pharmacy";2010
285;"geology";2009
115;"chemistry";2009
343;"anthropology";2009
290;"history";2013
213;"education rec/park/leisure studies";2009
163;"education work/community/family education";2011
131;"educational policy and administration";2009
104;"economics";2009
121;"health informatics";2013
317;"sociology";2013
154;"psychology";2012
206;"education work/community/family education";2008
113;"animal sciences";2011
113;"economics";2012
61;"microbiology immunology and cancer biology";2012
269;"design";2013
64;"molecular cellular developmental biology and genetics";2013
92;"family social science";2010
158;"biochemistry molecular biology and biophysics";2012
158;"educational policy and administration";2012
140;"educational policy and administration";2013
136;"biomedical engineering";2012
256;"mechanical engineering";2013
169;"molecular cellular developmental biology and genetics";2008
200;"educational policy and administration";2010
379;"geology";2009
159;"chemical engineering";2010
139;"teaching and learning";2013
263;"geology";2012
92;"child psychology";2011
112;"electrical engineering";2009
304;"history";2010
392;"chemistry";2011
305;"chemical engineering";2012
214;"chemistry";2010
204;"geography";2009
62;"family social science";2010
245;"educational policy and administration";2013
287;"anthropology";2013
275;"comparative literature";2009
206;"educational psychology";2008
144;"speech-language-hearing sciences";2011
129;"educational policy and administration";2009
119;"rehabilitation science";2011
250;"educational policy and administration";2009
266;"comparative studies in discourse and society";2010
144;"microbiology immunology and cancer biology";2010
176;"political science";2009
327;"english";2011
123;"civil engineering";2011
104;"pharmaceutics";2012
100;"business administration";2009
204;"comparative studies in discourse and society";2008
109;"aerospace engineering and mechanics";2012
203;"health informatics";2013
121;"biochemistry molecular biology and biophysics";2013
168;"educational policy and administration";2010
194;"educational psychology";2012
141;"computer science";2010
309;"educational policy and administration";2013
184;"family social science";2010
115;"biostatistics";2012
136;"conservation biology";2009
197;"physics";2010
102;"physics";2011
81;"economics";2010
75;"economics";2013
187;"mechanical engineering";2013
104;"mathematics";2012
96;"economics";2013
244;"chemistry";2011
320;"art history";2011
122;"biomedical engineering";2008
153;"electrical engineering";2012
94;"economics";2009
149;"mechanical engineering";2008
144;"conservation biology";2008
172;"aerospace engineering and mechanics";2010
166;"nursing";2011
2002;"biochemistry molecular biology and biophysics";2009
233;"education curriculum and instruction";2010
246;"epidemiology";2010
161;"biochemistry molecular biology and biophysics";2012
173;"material science and engineering";2013
114;"kinesiology";2011
152;"molecular cellular developmental biology and genetics";2012
92;"microbiology immunology and cancer biology";2013
90;"health services research policy and administration";2008
196;"business administration";2009
265;"chemical engineering";2013
180;"biomedical engineering";2013
260;"comparative literature";2013
600;"comparative literature";2012
119;"rehabilitation science";2009
168;"ecology evolution and behavior";2011
185;"material science and engineering";2011
128;"physics";2013
125;"psychology";2009
208;"microbiology immunology and cancer biology";2014
231;"history";2009
129;"educational psychology";2011
126;"sociology";2013
135;"educational psychology";2010
221;"sociology";2013
164;"mechanical engineering";2011
75;"computer science";2012
185;"biochemistry molecular biology and biophysics";2013
180;"civil engineering";2010
240;"chemical engineering";2009
165;"microbiology immunology and cancer biology";2009
166;"molecular cellular developmental biology and genetics";2011
226;"education curriculum and instruction";2009
218;"education curriculum and instruction";2012
133;"educational psychology";2009
156;"chemistry";2014
163;"veterinary medicine";2008
145;"chemical engineering";2009
126;"educational policy and administration";2013
313;"geography";2011
213;"neuroscience";2012
74;"mathematics";2009
118;"civil engineering";2012
77;"psychology";2008
200;"work community and family education";2008
225;"education curriculum and instruction";2010
174;"education curriculum and instruction";2012
445;"social work";2010
93;"pharmacology";2009
350;"work and human resource education";2013
240;"educational policy and administration";2013
115;"education curriculum and instruction";2012
149;"computer science";2009
156;"nursing";2010
246;"education curriculum and instruction";2012
77;"work and human resource education";2011
315;"educational policy and administration";2013
111;"biostatistics";2011
244;"mechanical engineering";2013
185;"molecular cellular developmental biology and genetics";2009
97;"anthropology";2011
202;"design";2010
135;"plant biological sciences";2008
123;"physics";2011
165;"biochemistry molecular biology and biophysics";2010
114;"ecology evolution and behavior";2012
148;"child psychology";2013
70;"child psychology";2008
198;"communication studies";2013
242;"molecular cellular developmental biology and genetics";2010
180;"physics";2009
122;"computer science";2012
62;"mathematics";2013
127;"civil engineering";2010
273;"plant biological sciences";2013
174;"social work";2009
197;"business administration";2008
117;"applied economics";2013
178;"educational policy and administration";2013
133;"applied economics";2010
146;"educational policy and administration";2013
143;"entomology";2012
504;"history";2010
165;"biochemistry molecular biology and biophysics";2012
203;"educational psychology";2013
226;"astrophysics";2010
242;"computer science";2011
167;"biochemistry molecular biology and biophysics";2011
149;"natural resources science and management";2013
129;"applied economics";2011
219;"political science";2009
241;"english";2011
82;"environmental health";2012
206;"work and human resource education";2011
154;"child psychology";2011
127;"sociology";2011
122;"business administration";2011
151;"education curriculum and instruction";2011
124;"psychology";2009
150;"child psychology";2010
157;"educational psychology";2008
147;"plant biological sciences";2013
199;"work and human resource education";2009
137;"neuroscience";2013
179;"education curriculum and instruction";2008
104;"educational psychology";2010
160;"psychology";2013
165;"microbiology immunology and cancer biology";2010
140;"educational psychology";2013
139;"social work";2010
365;"sociology";2012
99;"teaching and learning";2013
228;"physics";2010
235;"chemistry";2012
72;"psychology";2013
87;"psychology";2013
131;"educational psychology";2010
173;"design";2014
154;"pharmacology";2011
207;"aerospace engineering and mechanics";2012
93;"mathematics";2011
164;"pharmacology";2012
121;"comparative literature";2012
287;"chemistry";2012
89;"biostatistics";2010
101;"educational policy and administration";2010
126;"educational psychology";2007
170;"social administrative and clinical pharmacy";2010
156;"ecology evolution and behavior";2010
158;"civil engineering";2013
136;"microbiology immunology and cancer biology";2010
304;"political science";2013
256;"communication studies";2013
173;"mechanical engineering";2011
285;"education curriculum and instruction";2013
157;"water resources science";2011
162;"educational policy and administration";2012
290;"educational policy and administration";2011
107;"statistics";2011
222;"educational psychology";2009
205;"mechanical engineering";2010
211;"political science";2009
223;"educational policy and administration";2011
239;"history of science technology and medicine";2011
81;"music";2012
165;"oral biology";2013
115;"psychology";2013
172;"conservation biology";2011
99;"biostatistics";2013
128;"comparative and molecular biosciences";2010
202;"chemistry";2010
165;"ecology evolution and behavior";2010
133;"nursing";2009
154;"psychology";2008
154;"education curriculum and instruction";2011
277;"history";2011
